seed,dimension,p,k,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,15,75,3.0,2.2335078624459115,0.020327364826340677,0.009184684596762067,264,OPTIMAL,2.047
1,16,80,4.0,2.250303004538984,0.02227908527824063,0.00999948209067379,8217,OPTIMAL,47.981
1,17,85,4.0,1.6411353000709363,0.015225676683325862,0.009364405293083206,1294,OPTIMAL,8.054
1,18,90,4.0,2.1566595398692447,0.020075867063404917,0.009396246596343477,1244,OPTIMAL,10.603
1,19,95,4.0,1.7514415693513994,0.017138126516109686,0.009881850022791731,2042,OPTIMAL,13.205
1,20,100,4.0,2.274969426057991,0.02222358652787637,0.009865110452278914,3936,OPTIMAL,26.224
1,21,105,5.0,1.761794051506944,0.017424269139958648,0.009988862061297094,7073,OPTIMAL,43.567
1,22,110,5.0,1.930455938957835,0.018808777718513747,0.009839042528287496,1775,OPTIMAL,15.865
1,23,115,5.0,1.8673957031119208,0.018412697956149415,0.009958284043069502,4254,OPTIMAL,29.442
1,24,120,5.0,2.0309586934341795,0.020024286487673848,0.0099577024583709,5988,OPTIMAL,46.822
1,25,125,5.0,1.918574585754522,0.018970725549069423,0.009986674562251961,13847,OPTIMAL,96.581
1,26,130,6.0,1.8799554877600944,0.018596574257812915,0.00999085889503283,177660,OPTIMAL,1166.535
1,27,135,6.0,1.686597181016222,0.015434151505021587,0.009235575005232095,28868,OPTIMAL,220.222
1,28,140,6.0,2.262447787186701,0.02239043138914587,0.009995472361989556,127693,OPTIMAL,863.637
1,29,145,6.0,2.0679355073617574,0.02045795965193209,0.009991787052715195,97648,OPTIMAL,669.815
1,30,150,6.0,2.0182483059101366,0.019949322605406827,0.009983152056863486,38815,OPTIMAL,295.506
2,15,75,3.0,1.5912331179212327,0.01485031860266206,0.009420502817641417,2345,OPTIMAL,15.91
2,16,80,4.0,1.5377815557830616,0.014921220997875295,0.009798154602260405,18786,OPTIMAL,126.99
2,17,85,4.0,1.9730825424630343,0.019516421984816734,0.009990151743642681,47503,OPTIMAL,315.276
2,18,90,4.0,1.9086114227602864,0.018854327442144214,0.009977116894470542,29828,OPTIMAL,226.984
2,19,95,4.0,2.098437741911695,0.020681017547514724,0.009953531760963679,49156,OPTIMAL,334.968
2,20,100,4.0,1.7116317565128987,0.01688991773891746,0.009966071145759906,17429,OPTIMAL,126.28
2,21,105,5.0,2.033418409196724,0.06517714064377111,0.03311440608685602,321466,Time limit reached,1800.067
2,22,110,5.0,2.069724617321463,0.11097540068070622,0.0566562578496028,282109,Time limit reached,1800.085
2,23,115,5.0,2.149508807356191,0.04282162534309952,0.020326522944987196,281230,Time limit reached,1800.051
2,24,120,5.0,1.646273721545093,0.03513991425212848,0.021810674006754748,239422,Time limit reached,1800.109
2,25,125,5.0,1.831704795182616,0.051301634612235913,0.02881461668254994,240602,Time limit reached,1800.167
2,26,130,6.0,1.731060740623391,0.11894703636313353,0.07378327970837154,255252,Time limit reached,1800.099
2,27,135,6.0,2.1045464343605933,0.30960624892572364,0.1724883377385156,252529,Time limit reached,1800.096
2,28,140,6.0,1.815333424646909,0.3456638599523214,0.2351983522392354,265767,Time limit reached,1800.122
2,29,145,6.0,2.0424263803112144,0.15361604736609324,0.08132952509136687,242406,Time limit reached,1800.127
2,30,150,6.0,2.2442383923880818,0.35580828386128305,0.18841485435691133,258292,Time limit reached,1800.111
3,15,75,3.0,3.3580743194150378,0.03313857107685214,0.009966680136124409,7802,OPTIMAL,41.071
3,16,80,4.0,3.048834351864469,0.030113085805605344,0.00997544428635504,42671,OPTIMAL,253.973
3,17,85,4.0,3.5278768501750717,0.03489928061836922,0.009991269604058273,78495,OPTIMAL,469.88
3,18,90,4.0,3.2649714704686863,0.03221343078368566,0.009964689713315052,28017,OPTIMAL,181.65
3,19,95,4.0,3.632956866161044,0.03594449489303564,0.00999287497039233,66900,OPTIMAL,400.994
3,20,100,4.0,3.4232738207320144,0.0338895997308537,0.009998748303856607,55908,OPTIMAL,352.32
3,21,105,5.0,3.7183894561199775,0.03654922062621324,0.009926889351110505,33909,OPTIMAL,215.612
3,22,110,5.0,3.5577863670987497,0.027191081946046136,0.007701557315389119,71497,OPTIMAL,450.102
3,23,115,5.0,4.014525717592983,0.03973997665383466,0.00999801731311561,230441,OPTIMAL,1446.417
3,24,120,5.0,4.032486027759986,0.15790598304451553,0.04075434788342625,296720,Time limit reached,1800.081
3,25,125,5.0,4.453860581740739,0.04407169468310812,0.009994059990593867,171279,OPTIMAL,1139.743
3,26,130,6.0,4.0574474090504005,0.23364216881676647,0.061102005499236924,309977,Time limit reached,1800.064
3,27,135,6.0,4.457526586478268,0.09334693026697138,0.02138934178250793,285659,Time limit reached,1800.088
