seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
4,17,1753.0,3.878700613273126,4.165906206758644,OPTIMAL,19,71,71,4,0
4,17,3036.0,3.878700613273126,4.165906206758644,OPTIMAL,33,0,0,5,0
4,17,3081.0,3.909099091643609,4.165906206758644,OPTIMAL,46,2,0,5,1
4,17,3126.0,3.909099091643609,4.165906206758644,OPTIMAL,59,0,0,5,0
4,17,3177.0,3.927868625902694,4.165906206758644,OPTIMAL,73,0,0,5,1
4,17,3217.0,3.927868625902694,4.165906206758644,OPTIMAL,84,0,0,4,0
4,17,3255.0,3.947820411791204,4.165906206758644,OPTIMAL,96,1,0,5,1
4,17,3301.0,3.947820411791204,4.165906206758644,OPTIMAL,110,0,0,5,0
4,17,3349.0,3.9617872373962126,4.165906206758644,OPTIMAL,126,0,0,7,3
4,17,3386.0,3.9617872373962126,4.165906206758644,OPTIMAL,138,0,0,5,0
4,17,3453.0,3.97714669303706,4.165906206758644,OPTIMAL,156,0,0,5,3
4,17,3494.0,3.97714669303706,4.165906206758644,OPTIMAL,169,0,0,4,0
4,17,3544.0,3.9918227244354476,4.165906206758644,OPTIMAL,184,0,0,7,2
4,17,3588.0,3.9918227244354476,4.165906206758644,OPTIMAL,196,0,0,3,0
4,17,3626.0,4.008329722815815,4.165906206758644,OPTIMAL,206,0,0,7,2
4,17,3664.0,4.008329722815815,4.165906206758644,OPTIMAL,217,0,0,3,0
4,17,3697.0,4.023317515546825,4.165906206758644,OPTIMAL,226,0,0,7,1
4,17,3744.0,4.023317515546825,4.165906206758644,OPTIMAL,239,0,0,4,2
4,17,3770.0,4.029908297593055,4.165906206758644,OPTIMAL,246,7,0,3,4
4,17,3810.0,4.029908297593055,4.165906206758644,OPTIMAL,258,0,0,3,0
4,17,3834.0,4.0335113716904765,4.165906206758644,OPTIMAL,265,0,0,5,1
4,17,3870.0,4.0335113716904765,4.165906206758644,OPTIMAL,273,0,0,5,1
4,17,3895.0,4.044332246190932,4.165906206758644,OPTIMAL,280,3,0,4,4
4,17,3937.0,4.044332246190932,4.165906206758644,OPTIMAL,292,0,0,5,2
4,17,3957.0,4.050237160384323,4.165906206758644,OPTIMAL,298,4,0,3,2
4,17,3986.0,4.050237160384323,4.165906206758644,OPTIMAL,306,0,0,5,2
4,17,4008.0,4.054606699186903,4.165906206758644,OPTIMAL,312,1,0,5,1
4,17,4044.0,4.054606699186903,4.165906206758644,OPTIMAL,323,0,0,3,0
4,17,4067.0,4.056340374869313,4.165906206758644,OPTIMAL,330,0,0,4,1
4,17,4096.0,4.056340374869313,4.165906206758644,OPTIMAL,338,0,0,4,1
4,17,4119.0,4.0625619314812536,4.165906206758644,OPTIMAL,344,1,0,5,0
4,17,4152.0,4.0625619314812536,4.165906206758644,OPTIMAL,353,0,0,2,2
4,17,4174.0,4.0696378564787254,4.165906206758644,OPTIMAL,359,1,0,3,3
