seed,dimension,p,k,Ns,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,50,50,25.0,0.1,0.9889242810874164,0.15278494874538884,0.1827266614972387,24415,Time limit reached,1800.024
1,50,50,25.0,1.0,0.5086566636648585,0.0212767917726035,0.04365545850302811,33519,Time limit reached,1800.027
1,50,50,25.0,5.0,0.5068305288643339,0.0193862452977982,0.039771202476625196,31700,Time limit reached,1800.032
1,50,50,25.0,10.0,1.0000000000000004,0.5126759369496641,1.0520226186670143,44605,Time limit reached,1800.033
2,50,50,25.0,0.1,0.9571916791480566,0.14828415520840044,0.18331410058619052,40493,Time limit reached,1800.019
2,50,50,25.0,1.0,1.0000000000000004,0.7345870644508963,2.7677138754791026,37271,Time limit reached,1800.025
2,50,50,25.0,5.0,0.2752792025467366,0.00967066023930635,0.03640944735923811,38686,Time limit reached,1800.02
2,50,50,25.0,10.0,1.0000000000000004,0.7345478138734065,2.767156769705793,52057,Time limit reached,1800.016
3,50,50,25.0,0.1,0.9828924019745227,0.1466393988137431,0.17535291145083032,33050,Time limit reached,1800.015
3,50,50,25.0,1.0,0.49232625889296067,0.008631240289050712,0.017844385319416935,27165,Time limit reached,1800.024
3,50,50,25.0,5.0,0.4981649506011814,0.014696435978876932,0.030397917412177483,29469,Time limit reached,1800.022
3,50,50,25.0,10.0,0.502898805303664,0.019485690743774653,0.04030856871045975,44230,Time limit reached,1800.021
4,50,50,25.0,0.1,0.5230051416915293,0.049472701803825625,0.10447584502459403,32742,Time limit reached,1800.023
4,50,50,25.0,1.0,-0.9570683220182009,0.04878631623823704,0.050974747691324436,17525,Time limit reached,1800.015
4,50,50,25.0,5.0,-1.0089725778399885,0.07921869873594622,0.07851422375178704,17808,Time limit reached,1800.036
4,50,50,25.0,10.0,-1.030320636460831,0.05800305777068959,0.056296123476601505,24823,Time limit reached,1800.017
5,50,50,25.0,0.1,0.9632416366089152,0.14621003716667735,0.17895273238696083,23012,Time limit reached,1800.035
5,50,50,25.0,1.0,0.46137730665282084,0.013541862507941316,0.030238478630915108,33380,Time limit reached,1800.017
5,50,50,25.0,5.0,0.4653157986799885,0.017468810583494143,0.039006203118039644,37580,Time limit reached,1800.02
5,50,50,25.0,10.0,0.46143665169022025,0.01361843700050902,0.030410636623937014,29231,Time limit reached,1800.016
6,50,50,25.0,0.1,0.9198980856489041,0.03708279471742415,0.04200515679593315,61505,Time limit reached,1800.023
6,50,50,25.0,1.0,0.6255786315898251,0.010100792343902265,0.016411301430897418,41600,Time limit reached,1800.021
6,50,50,25.0,5.0,1.0000000000000004,0.3845651138896127,0.6248672647078947,74763,Time limit reached,1800.018
6,50,50,25.0,10.0,1.0000000000000004,0.38456872485089333,0.6248767984007958,66791,Time limit reached,1800.015
7,50,50,25.0,0.1,0.8898007903567755,0.12149215162884186,0.15812935779297352,26010,Time limit reached,1800.009
7,50,50,25.0,1.0,0.18329837824137984,0.02054931184072495,0.12626377708451333,27978,Time limit reached,1800.02
7,50,50,25.0,5.0,0.18642334711725336,0.023737027500578767,0.14590672133040147,31185,Time limit reached,1800.018
7,50,50,25.0,10.0,0.18601565508243423,0.02337074682585477,0.14369184425365716,29858,Time limit reached,1800.026
8,50,50,25.0,0.1,0.8034801858866946,0.10340890101993438,0.14771195913229823,37091,Time limit reached,1800.027
8,50,50,25.0,1.0,-0.20700861217746053,0.02178283048669688,0.10522668722605269,29386,Time limit reached,1800.021
8,50,50,25.0,5.0,-0.20067102316925936,0.030585703514553586,0.152417140409732,35051,Time limit reached,1800.02
8,50,50,25.0,10.0,-0.20171456154265094,0.029543264170013905,0.14646074107925627,57721,Time limit reached,1800.01
9,50,50,25.0,0.1,0.9093250241821065,0.13208739766746014,0.16994467735662444,43799,Time limit reached,1800.023
9,50,50,25.0,1.0,0.13548847120428625,0.01565416949625352,0.13063179134129496,40870,Time limit reached,1800.011
9,50,50,25.0,5.0,0.13737850008427402,0.017526666558921725,0.14623611540506223,40349,Time limit reached,1800.019
9,50,50,25.0,10.0,0.13217083751751652,0.012232394639533975,0.10198893987625307,34626,Time limit reached,1800.011
10,50,50,25.0,0.1,0.9703717454135521,0.14181292337025286,0.17115613230757676,27837,Time limit reached,1800.015
10,50,50,25.0,1.0,0.48912783240989555,0.018891201742345654,0.04017381996704005,36172,Time limit reached,1800.014
10,50,50,25.0,5.0,0.4955528531252179,0.025376028723358146,0.05397124529827798,64519,Time limit reached,1800.015
10,50,50,25.0,10.0,0.49864506687429744,0.028422596703741865,0.06044499892451467,52617,Time limit reached,1800.016
1,70,70,35.0,0.1,0.5123950966645312,0.09470155303124916,0.22672496253471727,25482,Time limit reached,1800.016
1,70,70,35.0,1.0,-1.3890840800010962,0.04799052611099919,0.03454832346142885,17502,Time limit reached,1800.023
1,70,70,35.0,5.0,-1.5828841170460342,0.06351927006581337,0.04012881889569562,19341,Time limit reached,1800.015
1,70,70,35.0,10.0,-1.5526951638505893,0.09371512923479863,0.0603564250193134,23794,Time limit reached,1800.022
2,70,70,35.0,0.1,0.8739431696829421,0.057139485431236814,0.06995498004344063,45502,Time limit reached,1800.024
2,70,70,35.0,1.0,0.9999999999999983,0.7516874621148618,3.0271828741188034,27616,Time limit reached,1800.016
2,70,70,35.0,5.0,0.9999999999999983,0.7516771288588513,3.027015294260177,42084,Time limit reached,1800.014
2,70,70,35.0,10.0,0.9999999999999983,0.7518073460808666,3.029128115636441,36831,Time limit reached,1800.015
3,70,70,35.0,0.1,0.7861138536351389,0.16133983575824962,0.25823710836522235,24998,Time limit reached,1800.017
3,70,70,35.0,1.0,0.45177361598447596,1.3721825372847793,Inf,52296,Time limit reached,1800.02
3,70,70,35.0,5.0,0.9999999999999983,2.035716712795648,Inf,43669,Time limit reached,1800.022
3,70,70,35.0,10.0,0.9999999999999983,2.0358169173000324,Inf,40864,Time limit reached,1800.025
4,70,70,35.0,0.1,0.9028245607681239,0.07525049742381418,0.09092901863033186,22905,Time limit reached,1800.013
4,70,70,35.0,1.0,0.9999999999999983,0.5265567246294582,1.1121854549889822,30424,Time limit reached,1800.021
4,70,70,35.0,5.0,0.9999999999999983,0.5264643809668763,1.1117735600160887,40895,Time limit reached,1800.013
5,70,70,35.0,0.1,0.5434496819568556,0.09506775872424378,0.21202406653428904,23885,Time limit reached,1800.029
5,70,70,35.0,1.0,-1.5359680589718285,0.04901467739633647,0.0319112608560016,18321,Time limit reached,1800.024
5,70,70,35.0,5.0,-1.8106475600830152,0.06249661686490593,0.03451616882417502,37597,Time limit reached,1800.028
5,70,70,35.0,10.0,0.9999999999999983,2.87314769996827,Inf,36350,Time limit reached,1800.023
6,70,70,35.0,0.1,0.97846880551169,0.20506473495530864,0.26514566287165586,32709,Time limit reached,1800.021
6,70,70,35.0,1.0,0.9999999999999983,0.9306332134831828,13.41612117576737,26775,Time limit reached,1800.018
6,70,70,35.0,5.0,0.9999999999999983,0.9305064295338016,13.389820429307496,37876,Time limit reached,1800.025
6,70,70,35.0,10.0,0.9999999999999983,0.9305751482129533,13.404063879998112,38326,Time limit reached,1800.016
7,70,70,35.0,0.1,0.9060514440126751,0.06680442010931265,0.079600425389182,46322,Time limit reached,1800.025
7,70,70,35.0,1.0,0.9999999999999983,0.5045523950756782,1.0183768981035821,25435,Time limit reached,1800.021
7,70,70,35.0,5.0,0.9999999999999983,0.5047186127004075,1.0190542702447816,34988,Time limit reached,1800.025
8,70,70,35.0,0.1,0.9502197091285304,0.038687716082171475,0.04244252135668472,46137,Time limit reached,1800.017
8,70,70,35.0,1.0,0.9999999999999983,0.19149040548467233,0.236843702021204,30232,Time limit reached,1800.022
8,70,70,35.0,5.0,0.9999999999999983,0.19161105581777127,0.23702829831697736,32622,Time limit reached,1800.033
8,70,70,35.0,10.0,0.9999999999999983,0.19180169247859635,0.23732008678268265,27320,Time limit reached,1800.016
9,70,70,35.0,0.1,0.27169153212856273,0.0637536280151777,0.3065993585297172,31479,Time limit reached,1800.013
9,70,70,35.0,1.0,-0.9840613248470025,1.2954792918541107,1.316461951246307,17178,Time limit reached,1800.02
9,70,70,35.0,5.0,-2.6505375225981633,0.1149098175911627,0.04335340156909889,20522,Time limit reached,1800.024
