seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
1,27,1642.0,1.4119260129241245,1.694796254821123,OPTIMAL,31,0,0,11,3
1,27,2799.0,1.4119260129241245,1.694796254821123,OPTIMAL,51,0,0,14,3
1,27,2924.0,1.4426635933279364,1.694796254821123,OPTIMAL,72,0,0,14,1
1,27,3052.0,1.4426635933279364,1.694796254821123,OPTIMAL,90,0,0,16,3
1,27,3191.0,1.4527176138974491,1.694796254821123,OPTIMAL,113,0,0,6,2
1,27,3315.0,1.4527176138974491,1.694796254821123,OPTIMAL,132,0,0,16,7
1,27,3484.0,1.4678743440586919,1.694796254821123,OPTIMAL,156,0,0,12,3
1,27,3595.0,1.4678743440586919,1.694796254821123,OPTIMAL,172,0,0,8,7
1,27,3712.0,1.4830078056322071,1.694796254821123,OPTIMAL,190,0,0,7,2
1,27,3875.0,1.4830078056322071,1.694796254821123,OPTIMAL,215,0,0,17,8
1,27,3992.0,1.4887591029433818,1.694796254821123,OPTIMAL,233,0,0,16,0
1,27,4125.0,1.4887591029433818,1.694796254821123,OPTIMAL,254,0,0,13,2
1,27,4225.0,1.488855333149204,1.694796254821123,OPTIMAL,269,0,0,10,4
1,27,4360.0,1.488855333149204,1.694796254821123,OPTIMAL,288,0,0,17,9
1,27,4513.0,1.4889593369888992,1.694796254821123,OPTIMAL,312,0,0,8,2
1,27,4635.0,1.4889593369888992,1.694796254821123,OPTIMAL,331,0,0,16,4
1,27,4785.0,1.4959753574188763,1.694796254821123,OPTIMAL,353,0,0,12,5
1,27,4886.0,1.4959753574188763,1.694796254821123,OPTIMAL,368,0,0,17,2
1,27,5045.0,1.5066568411556622,1.694796254821123,OPTIMAL,393,0,0,18,3
1,27,5171.0,1.5066568411556622,1.694796254821123,OPTIMAL,411,0,0,17,3
1,27,5290.0,1.5083469154833946,1.694796254821123,OPTIMAL,430,0,0,13,3
1,27,5417.0,1.5083469154833946,1.694796254821123,OPTIMAL,449,0,0,22,5
1,27,5566.0,1.5116064051616065,1.694796254821123,OPTIMAL,472,0,0,16,1
1,27,5696.0,1.5116064051616065,1.694796254821123,OPTIMAL,491,0,0,17,5
1,27,5854.0,1.5120307024121498,1.694796254821123,OPTIMAL,516,0,0,7,3
1,27,5987.0,1.5120307024121498,1.694796254821123,OPTIMAL,535,0,0,23,11
1,27,6161.0,1.5219053653470405,1.694796254821123,OPTIMAL,563,0,0,15,4
1,27,6253.0,1.5219053653470405,1.694796254821123,OPTIMAL,576,0,0,15,7
1,27,6395.0,1.521986679594453,1.694796254821123,OPTIMAL,598,0,0,11,2
1,27,6523.0,1.521986679594453,1.694796254821123,OPTIMAL,617,0,0,25,3
1,27,6707.0,1.5259895039929239,1.694796254821123,OPTIMAL,647,0,0,17,3
1,27,6829.0,1.5259895039929239,1.694796254821123,OPTIMAL,664,0,0,18,5
1,27,6979.0,1.5288776120891336,1.694796254821123,OPTIMAL,688,0,0,8,2
1,27,7080.0,1.5288776120891336,1.694796254821123,OPTIMAL,703,0,0,15,10
1,27,7208.0,1.529757172146681,1.694796254821123,OPTIMAL,722,0,0,10,1
1,27,7353.0,1.529757172146681,1.694796254821123,OPTIMAL,745,0,0,15,5
1,27,7469.0,1.5311404700135989,1.694796254821123,OPTIMAL,763,0,0,17,1
1,27,7619.0,1.5311404700135989,1.694796254821123,OPTIMAL,784,0,0,21,10
1,27,7772.0,1.5321711233777273,1.694796254821123,OPTIMAL,809,0,0,16,4
1,27,7897.0,1.5321711233777273,1.694796254821123,OPTIMAL,828,0,0,26,7
1,27,8079.0,1.5361369017797382,1.694796254821123,OPTIMAL,856,0,0,17,6
1,27,8204.0,1.5361369017797382,1.694796254821123,OPTIMAL,875,0,0,17,4
1,27,8332.0,1.5375048986993867,1.694796254821123,OPTIMAL,895,0,0,16,1
1,27,8464.0,1.5375048986993867,1.694796254821123,OPTIMAL,914,0,0,19,9
1,27,8651.0,1.53819712574735,1.694796254821123,OPTIMAL,944,0,0,19,3
1,27,8758.0,1.53819712574735,1.694796254821123,OPTIMAL,960,0,0,18,13
1,27,8911.0,1.5388861130876672,1.694796254821123,OPTIMAL,984,0,0,15,3
1,27,9036.0,1.5388861130876672,1.694796254821123,OPTIMAL,1003,0,0,15,4
1,27,9149.0,1.53963926699504,1.694796254821123,OPTIMAL,1021,0,0,12,2
1,27,9315.0,1.53963926699504,1.694796254821123,OPTIMAL,1046,0,0,11,3
1,27,9444.0,1.5406782792539977,1.694796254821123,OPTIMAL,1066,0,0,19,2
1,27,9586.0,1.5406782792539977,1.694796254821123,OPTIMAL,1087,0,0,28,10
1,27,9752.0,1.5472744402878509,1.694796254821123,OPTIMAL,1112,0,0,16,4
1,27,9876.0,1.5472744402878509,1.694796254821123,OPTIMAL,1131,0,0,19,7
1,27,10028.0,1.5476953403555507,1.694796254821123,OPTIMAL,1155,0,0,12,5
1,27,10114.0,1.5476953403555507,1.694796254821123,OPTIMAL,1168,0,0,18,3
1,27,10268.0,1.54780827222623,1.694796254821123,OPTIMAL,1192,0,0,14,2
1,27,10402.0,1.54780827222623,1.694796254821123,OPTIMAL,1212,0,0,27,11
1,27,10587.0,1.5485924605804267,1.694796254821123,OPTIMAL,1240,0,0,15,2
1,27,10733.0,1.5485924605804267,1.694796254821123,OPTIMAL,1260,0,0,27,14
1,27,10890.0,1.5492591245600347,1.694796254821123,OPTIMAL,1285,0,0,18,5
1,27,11051.0,1.5492591245600347,1.694796254821123,OPTIMAL,1308,0,0,20,12
1,27,11228.0,1.551295653013308,1.694796254821123,OPTIMAL,1336,0,0,20,7
1,27,11357.0,1.551295653013308,1.694796254821123,OPTIMAL,1354,0,0,19,7
1,27,11539.0,1.5564857924745703,1.694796254821123,OPTIMAL,1383,0,0,9,5
1,27,11615.0,1.5564857924745703,1.694796254821123,OPTIMAL,1393,0,0,23,15
1,27,11791.0,1.5570308310802072,1.694796254821123,OPTIMAL,1419,0,0,15,4
1,27,11935.0,1.5570308310802072,1.694796254821123,OPTIMAL,1441,0,0,25,14
1,27,12111.0,1.5587112599975275,1.694796254821123,OPTIMAL,1469,0,0,16,6
1,27,12233.0,1.5587112599975275,1.694796254821123,OPTIMAL,1487,0,0,17,7
1,27,12364.0,1.5589571808818201,1.694796254821123,OPTIMAL,1508,0,0,10,4
1,27,12456.0,1.5589571808818201,1.694796254821123,OPTIMAL,1522,0,0,16,5
1,27,12596.0,1.5602215145090985,1.694796254821123,OPTIMAL,1544,0,0,13,1
1,27,12717.0,1.5602215145090985,1.694796254821123,OPTIMAL,1563,0,0,17,6
1,27,12860.0,1.5631369235681882,1.694796254821123,OPTIMAL,1586,0,0,5,4
1,27,12965.0,1.5631369235681882,1.694796254821123,OPTIMAL,1600,0,0,22,16
1,27,13128.0,1.563943087715129,1.694796254821123,OPTIMAL,1626,0,0,14,3
1,27,13224.0,1.563943087715129,1.694796254821123,OPTIMAL,1640,0,0,19,3
1,27,13402.0,1.5652270079316195,1.694796254821123,OPTIMAL,1668,0,0,16,1
1,27,13542.0,1.5652270079316195,1.694796254821123,OPTIMAL,1689,0,0,22,9
1,27,13749.0,1.566096532209087,1.694796254821123,OPTIMAL,1722,0,0,8,7
1,27,13856.0,1.566096532209087,1.694796254821123,OPTIMAL,1738,0,0,17,3
1,27,14031.0,1.567708497928557,1.694796254821123,OPTIMAL,1766,0,0,17,3
1,27,14159.0,1.567708497928557,1.694796254821123,OPTIMAL,1784,0,0,27,14
1,27,14323.0,1.567829940549936,1.694796254821123,OPTIMAL,1810,0,0,16,7
1,27,14448.0,1.567829940549936,1.694796254821123,OPTIMAL,1829,0,0,24,16
1,27,14624.0,1.5678422185196301,1.694796254821123,OPTIMAL,1856,0,0,17,10
1,27,14741.0,1.5678422185196301,1.694796254821123,OPTIMAL,1874,0,0,20,7
1,27,14901.0,1.5683721791909078,1.694796254821123,OPTIMAL,1900,0,0,15,3
1,27,15079.0,1.5683721791909078,1.694796254821123,OPTIMAL,1926,0,0,20,13
1,27,15262.0,1.5699826816554256,1.694796254821123,OPTIMAL,1955,0,0,13,6
1,27,15365.0,1.5699826816554256,1.694796254821123,OPTIMAL,1970,0,0,19,5
1,27,15519.0,1.5709533144566432,1.694796254821123,OPTIMAL,1995,0,0,16,6
1,27,15621.0,1.5709533144566432,1.694796254821123,OPTIMAL,2010,0,0,17,4
1,27,15791.0,1.5721356123728374,1.694796254821123,OPTIMAL,2036,0,0,13,5
1,27,15987.0,1.5721356123728374,1.694796254821123,OPTIMAL,2068,0,0,19,5
1,27,16102.0,1.5739863710516449,1.694796254821123,OPTIMAL,2086,0,0,21,0
1,27,16214.0,1.5739863710516449,1.694796254821123,OPTIMAL,2102,0,0,20,7
1,27,16372.0,1.5741868402942025,1.694796254821123,OPTIMAL,2127,0,0,9,3
1,27,16524.0,1.5741868402942025,1.694796254821123,OPTIMAL,2149,0,0,34,15
1,27,16699.0,1.5748432929952945,1.694796254821123,OPTIMAL,2176,0,0,20,6
1,27,16812.0,1.5748432929952945,1.694796254821123,OPTIMAL,2193,0,0,16,5
1,27,16980.0,1.575170663501937,1.694796254821123,OPTIMAL,2220,0,0,13,5
1,27,17080.0,1.575170663501937,1.694796254821123,OPTIMAL,2235,0,0,21,4
1,27,17227.0,1.5757609689514054,1.694796254821123,OPTIMAL,2258,0,0,15,2
1,27,17334.0,1.5757609689514054,1.694796254821123,OPTIMAL,2273,0,0,19,4
1,27,17484.0,1.5774362628073506,1.694796254821123,OPTIMAL,2297,0,0,13,5
1,27,17608.0,1.5774362628073506,1.694796254821123,OPTIMAL,2316,0,0,28,17
1,27,17790.0,1.5775187800782333,1.694796254821123,OPTIMAL,2344,0,0,16,6
1,27,17909.0,1.5775187800782333,1.694796254821123,OPTIMAL,2362,0,0,17,8
1,27,18036.0,1.5776064448015485,1.694796254821123,OPTIMAL,2382,0,0,11,3
1,27,18176.0,1.5776064448015485,1.694796254821123,OPTIMAL,2402,0,0,23,11
1,27,18368.0,1.577694441366936,1.694796254821123,OPTIMAL,2433,0,0,18,5
1,27,18473.0,1.577694441366936,1.694796254821123,OPTIMAL,2448,0,0,20,4
1,27,18589.0,1.577829172893096,1.694796254821123,OPTIMAL,2467,0,0,12,2
