seed,num_v,solution,dual_gap,rel_dual_gap,number_nodes,ncalls,termination,time
1,4,-10.52163726099156,0.09626649698620504,0.009149383750674265,21,186,Optimal (tolerance reached),15.136
1,5,-6.753903222760302,0.06624584102140219,0.009808526837956036,443,3997,Optimal (tolerance reached),46.672
1,6,-6.609683524031659,0.0656143416839674,0.00992700201838788,3509,43752,Optimal (tolerance reached),219.633
1,7,-11.690896291367242,0.11472417759280695,0.009813120802168201,513,4917,Optimal (tolerance reached),41.768
1,8,-1.0950438989627638,0.010820886226900583,0.009881691717702123,1409,21521,Optimal (tolerance reached),145.471
2,4,-12.460514291879214,0.10325677234597741,0.008286718343019925,9,85,Optimal (tolerance reached),13.772
2,5,-14.615935365134433,0.1445897362362789,0.009892609171027831,355,3273,Optimal (tolerance reached),42.697
2,6,-9.3975879978104,0.09362367299414665,0.009962521555101222,223,2802,Optimal (tolerance reached),28.937
2,7,-4.4232888423304235,0.04415863651363061,0.009983213416007782,1479,20913,Optimal (tolerance reached),139.85
2,8,-10.365833529843716,0.1035852532730619,0.0099929497203322,1909,27101,Optimal (tolerance reached),174.318
3,4,-9.927340542531102,0.09873842131559307,0.009946110027411073,73,555,Optimal (tolerance reached),19.079
3,5,-10.77493717608612,0.10529158902918567,0.009771898184508182,423,4100,Optimal (tolerance reached),47.725
3,6,-3.432676370603183,0.03199060344252791,0.009319434746744444,467,6561,Optimal (tolerance reached),52.742
3,7,-5.729822203312294,0.05699085513861046,0.009946356643608455,1865,24179,Optimal (tolerance reached),159.008
3,8,-0.9868809399417389,0.5372408542309055,0.5443826428166926,7551,114290,Time limit reached,601.659
