seed,num_v,solution,dual_gap,rel_dual_gap,number_nodes,ncalls,termination,time
1,4,-501.9761863719564,3.9094341493959064,0.0077880868764939335,3,18,Time limit reached,2361.24
1,5,-496.4583624786399,11.465834929293237,0.023095259936902673,3,7,Time limit reached,1965.769
1,6,-485.5407587930873,5.9352960074705265,0.012224094270116356,3,31,Time limit reached,1910.982
1,7,-475.91426983362254,7.757495199852997,0.016300194576147047,3,24,Time limit reached,1958.365
1,8,-470.9310220831441,12.201539110419844,0.025909397636296787,3,20,Time limit reached,2266.871
2,4,-505.96912868151054,5.092648726175469,0.010065137253425414,3,26,Time limit reached,1956.575
2,5,-543.7924584375728,4.572983147815421,0.0084094273042229,3,18,Time limit reached,2235.115
2,6,-476.5735179166229,6.765190262970862,0.014195480883086834,3,29,Time limit reached,1925.875
2,7,-466.26739774702844,10.481348567183659,0.022479265369675865,3,11,Time limit reached,1956.514
2,8,-448.3903978779525,11.12251792915896,0.024805432903552943,3,28,Time limit reached,2031.62
3,4,-482.39674582137786,3.066294821331155,0.0063563754272640645,3,30,Time limit reached,2061.584
3,5,-492.7137659643789,3.9035818317739768,0.007922615728289168,3,18,Time limit reached,2375.401
3,6,-508.8601833257553,5.314623813857793,0.010444173051864717,3,25,Time limit reached,2049.918
3,7,-457.58825120820745,11.307001404012794,0.024709990639309464,3,21,Time limit reached,1909.816
3,8,-433.40142236741144,9.209587143602107,0.021249554496834987,3,26,Time limit reached,1987.142
