seed,dimension,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,20,-1.5315296315467162,0.015138626112774833,0.009884644606899374,3616,OPTIMAL,17.203
1,25,4.732725723895142,0.03994290394866251,0.008511560300401469,8636,OPTIMAL,37.793
1,30,-30.164111251554655,0.2973841093758267,0.009858871918876761,347,OPTIMAL,60.892
1,35,7.5542870779353555,0.058646081334690514,0.007824024838074154,4479,OPTIMAL,26.696
1,40,8.098852387127241,0.0713952713158168,0.008893883864566753,24330,OPTIMAL,132.161
1,45,5.539145438148692,0.04541355656262702,0.00826643118766763,30323,OPTIMAL,162.388
1,50,4.585952906710067,0.043871531501729066,0.00965890477902694,25220,OPTIMAL,112.815
1,55,16.533886380781954,0.1387534152878267,0.00846308569621563,6340,OPTIMAL,46.345
1,60,2.86613555120942,0.02801534663124894,0.00987109234698988,163242,OPTIMAL,875.886
1,65,14.605036632131924,0.1338925773112436,0.009252383695720368,21892,OPTIMAL,145.142
1,70,-27.344864451583746,0.6331172886223939,0.023153060046919537,23632,Time limit reached,1800.243
1,75,16.762974827801166,0.12449452247470916,0.007482325319990605,23972,OPTIMAL,193.812
1,80,20.417363511271507,0.19574209406644272,0.009679841691621248,76257,OPTIMAL,613.027
1,85,10.236294863872313,0.09913976832974924,0.009779841325831373,25495,OPTIMAL,223.914
1,90,9.436663323353024,2.846321939978946,0.4318929436887085,202790,Time limit reached,1800.005
1,95,30.948564636447877,0.23994359813173105,0.007813558213256975,80123,OPTIMAL,752.364
1,100,5.124362714402975,3.8091126301976734,2.8961128198666573,171641,Time limit reached,1800.023
1,105,24.383439443446974,0.2348831406870424,0.009726591426096875,64366,OPTIMAL,509.081
1,110,-45.65981250301185,3.110450509341831,0.0681222795020601,75641,Time limit reached,1800.028
1,115,29.724648332400744,0.27999866374875637,0.009509322301323038,158912,OPTIMAL,1482.102
1,120,34.22481925672192,2.1176965246878723,0.06595721897481008,238864,Time limit reached,1800.014
2,20,-9.114481093385423,0.08971789868289726,0.009843445585509798,3044,OPTIMAL,62.614
2,25,5.401151430831927,0.023447285485817204,0.00436009212334758,3212,OPTIMAL,20.371
