seed,dimension,var_A,p,k,M,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,5,1,25,5.0,0.1,0.6330541727029532,0.006233902533793967,0.009945279102272222,4682,OPTIMAL,25.086
1,5,5,25,5.0,0.1,0.28694865548636417,0.002239010804371777,0.007864190223947803,2069,OPTIMAL,13.781
1,5,1,25,5.0,1.0,0.6330541727029194,0.00624787230799162,0.009967787981797668,76694,OPTIMAL,220.243
1,5,5,25,5.0,1.0,0.2867351506391778,0.002835721492762344,0.00998847197857477,113765,OPTIMAL,311.498
2,5,1,25,5.0,0.1,0.561558803563659,0.00541121756678109,0.00972982298769066,30,OPTIMAL,7.594
2,5,5,25,5.0,0.1,0.20313961626515484,0.0016303011912232879,0.00809045075968398,93,OPTIMAL,7.756
2,5,1,25,5.0,1.0,0.5304053488365846,0.003626751387049265,0.006884773611928497,29847,OPTIMAL,104.899
2,5,5,25,5.0,1.0,0.15519907526447277,0.0015329885484308692,0.009976101957119947,101192,OPTIMAL,294.806
3,5,1,25,5.0,0.1,0.6595374915715047,0.006514474190160269,0.009975872238445196,4926,OPTIMAL,26.348
3,5,5,25,5.0,0.1,0.38760816244687524,0.0037059545070829425,0.009653381591554041,2813,OPTIMAL,16.809
3,5,1,25,5.0,1.0,0.6595374915714965,0.006529098381801379,0.009998490754321306,61349,OPTIMAL,193.816
3,5,5,25,5.0,1.0,0.3872486896147957,0.0038058365249126203,0.009925433462233528,129409,OPTIMAL,344.18
1,10,1,50,10.0,0.1,0.4718474259178642,0.00369369671175912,0.007889922650029703,48,OPTIMAL,8.088
1,10,5,50,10.0,0.1,0.10447247263399045,0.001032346090350078,0.00998013174234219,2727,OPTIMAL,22.421
1,10,1,50,10.0,1.0,0.6931471805599454,0.3548175600927802,1.048733361279005,219990,Time limit reached,1801.453
1,10,5,50,10.0,1.0,0.11332132258669111,0.05368059106728915,0.9000659398321784,217287,Time limit reached,1801.516
2,10,1,50,10.0,0.1,0.6931471805599454,0.05788827189398138,0.09112547829600068,213981,Time limit reached,1801.242
2,10,5,50,10.0,0.1,0.3208469697257447,0.016796547334507028,0.055242637725705986,242154,Time limit reached,1801.483
2,10,1,50,10.0,1.0,0.6632910143807178,0.03763897452952902,0.060159596919849324,229065,Time limit reached,1801.558
2,10,5,50,10.0,1.0,0.4185638364685981,0.15838867826249164,0.6087770998375592,226529,Time limit reached,1801.481
3,10,1,50,10.0,0.1,0.6931471805599454,0.03656994621030041,0.05569785898306966,211007,Time limit reached,1801.332
3,10,5,50,10.0,0.1,0.42402240063034924,0.028482536484420284,0.07200926901747645,238876,Time limit reached,1801.379
3,10,1,50,10.0,1.0,0.6764033249335353,0.024820275096701816,0.03809226637021512,233139,Time limit reached,1801.581
3,10,5,50,10.0,1.0,0.507484409427645,0.15986403657702547,0.4598810917383221,221150,Time limit reached,1801.629
1,15,1,75,15.0,0.1,0.6931471805599453,0.0735100705157482,0.11863406714053154,119158,Time limit reached,1801.337
1,15,5,75,15.0,0.1,0.6931471805599453,0.42967998763336035,1.6308671408401523,123931,Time limit reached,1801.482
1,15,1,75,15.0,1.0,0.6697061438318295,0.053575644423851654,0.08695502734458196,138119,Time limit reached,1801.927
1,15,5,75,15.0,1.0,0.4382195381189772,0.18814022439545097,0.7523222196756679,144078,Time limit reached,1801.471
2,15,1,75,15.0,0.1,0.6931471805599453,0.06399540404585369,0.10171695675792204,117297,Time limit reached,1801.522
