seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
3,16,1437.0,2.499200577619352,3.1084109989826336,OPTIMAL,28,0,0,13,0
3,16,2499.0,2.499200577619352,3.1084109989826336,OPTIMAL,44,0,0,15,0
3,16,2621.0,2.534149537607999,3.1084109989826336,OPTIMAL,69,0,0,17,0
3,16,2697.0,2.534149537607999,3.1084109989826336,OPTIMAL,83,0,0,12,0
3,16,2818.0,2.562965886740369,3.1084109989826336,OPTIMAL,107,0,0,16,0
3,16,2925.0,2.562965886740369,3.1084109989826336,OPTIMAL,125,0,0,15,1
3,16,3053.0,2.5910525175796106,3.1084109989826336,OPTIMAL,150,0,0,16,2
3,16,3162.0,2.5910525175796106,3.1084109989826336,OPTIMAL,172,0,0,20,3
3,16,3291.0,2.615122214979081,3.1084109989826336,OPTIMAL,198,0,0,19,1
3,16,3394.0,2.615122214979081,3.1084109989826336,OPTIMAL,217,0,0,24,2
3,16,3562.0,2.632907439077032,3.1084109989826336,OPTIMAL,246,0,0,20,1
3,16,3652.0,2.632907439077032,3.1084109989826336,OPTIMAL,263,0,0,27,3
3,16,3792.0,2.6362160154559846,3.1084109989826336,OPTIMAL,292,47,0,25,5
3,16,3877.0,2.6362160154559846,3.1084109989826336,OPTIMAL,308,0,0,21,0
3,16,4003.0,2.650054759125103,3.1084109989826336,OPTIMAL,335,54,0,20,0
3,16,4119.0,2.650054759125103,3.1084109989826336,OPTIMAL,355,0,0,22,4
3,16,4282.0,2.6618104741219604,3.1084109989826336,OPTIMAL,388,45,0,21,0
3,16,4372.0,2.6618104741219604,3.1084109989826336,OPTIMAL,405,0,0,22,3
3,16,4523.0,2.663796263016575,3.1084109989826336,OPTIMAL,435,52,0,18,1
3,16,4627.0,2.663796263016575,3.1084109989826336,OPTIMAL,453,0,0,26,3
3,16,4778.0,2.6705106153574327,3.1084109989826336,OPTIMAL,483,44,0,25,3
3,16,4868.0,2.6705106153574327,3.1084109989826336,OPTIMAL,500,0,0,23,0
3,16,4995.0,2.6775443728896904,3.1084109989826336,OPTIMAL,527,53,0,19,1
3,16,5118.0,2.6775443728896904,3.1084109989826336,OPTIMAL,549,0,0,31,3
3,16,5279.0,2.682950118687147,3.1084109989826336,OPTIMAL,582,43,0,25,2
3,16,5364.0,2.682950118687147,3.1084109989826336,OPTIMAL,598,0,0,22,5
3,16,5511.0,2.693369947378935,3.1084109989826336,OPTIMAL,628,49,0,19,0
3,16,5639.0,2.693369947378935,3.1084109989826336,OPTIMAL,651,0,0,28,8
3,16,5796.0,2.697574663358174,3.1084109989826336,OPTIMAL,682,42,0,21,2
3,16,5879.0,2.697574663358174,3.1084109989826336,OPTIMAL,697,0,0,23,0
3,16,6021.0,2.705859060873761,3.1084109989826336,OPTIMAL,725,54,0,16,1
3,16,6121.0,2.705859060873761,3.1084109989826336,OPTIMAL,744,0,0,26,4
3,16,6257.0,2.7077406961108332,3.1084109989826336,OPTIMAL,771,52,0,18,2
3,16,6359.0,2.7077406961108332,3.1084109989826336,OPTIMAL,790,0,0,30,10
3,16,6504.0,2.7140582695545405,3.1084109989826336,OPTIMAL,821,40,0,25,0
3,16,6601.0,2.7140582695545405,3.1084109989826336,OPTIMAL,840,0,0,25,5
3,16,6741.0,2.7169404299269564,3.1084109989826336,OPTIMAL,868,50,0,25,1
3,16,6820.0,2.7169404299269564,3.1084109989826336,OPTIMAL,884,0,0,23,2
3,16,6941.0,2.720398563645756,3.1084109989826336,OPTIMAL,909,51,0,22,0
3,16,7031.0,2.720398563645756,3.1084109989826336,OPTIMAL,927,0,0,28,4
3,16,7148.0,2.7230255565358625,3.1084109989826336,OPTIMAL,951,50,0,20,2
3,16,7277.0,2.7230255565358625,3.1084109989826336,OPTIMAL,976,0,0,25,15
3,16,7446.0,2.728739817015221,3.1084109989826336,OPTIMAL,1013,35,0,16,2
3,16,7523.0,2.728739817015221,3.1084109989826336,OPTIMAL,1028,0,0,22,7
3,16,7673.0,2.7339339169966745,3.1084109989826336,OPTIMAL,1059,49,0,21,0
3,16,7768.0,2.7339339169966745,3.1084109989826336,OPTIMAL,1078,0,0,30,6
3,16,7894.0,2.7350540350178614,3.1084109989826336,OPTIMAL,1106,49,0,18,1
3,16,7962.0,2.7350540350178614,3.1084109989826336,OPTIMAL,1120,0,0,24,3
3,16,8105.0,2.7361860834086835,3.1084109989826336,OPTIMAL,1152,49,0,19,0
3,16,8183.0,2.7361860834086835,3.1084109989826336,OPTIMAL,1167,0,0,17,3
3,16,8313.0,2.737816744419374,3.1084109989826336,OPTIMAL,1195,52,0,18,1
3,16,8430.0,2.737816744419374,3.1084109989826336,OPTIMAL,1220,0,0,31,11
3,16,8582.0,2.739426465876652,3.1084109989826336,OPTIMAL,1254,35,0,28,2
3,16,8656.0,2.739426465876652,3.1084109989826336,OPTIMAL,1268,0,0,24,8
3,16,8768.0,2.7434576668064006,3.1084109989826336,OPTIMAL,1294,49,0,24,0
3,16,8834.0,2.7434576668064006,3.1084109989826336,OPTIMAL,1307,0,0,33,3
3,16,8962.0,2.7494265256422907,3.1084109989826336,OPTIMAL,1336,49,0,19,1
3,16,9058.0,2.7494265256422907,3.1084109989826336,OPTIMAL,1356,0,0,22,3
3,16,9184.0,2.7496888624733393,3.1084109989826336,OPTIMAL,1384,50,0,23,2
3,16,9258.0,2.7496888624733393,3.1084109989826336,OPTIMAL,1399,0,0,22,4
3,16,9394.0,2.750702701075778,3.1084109989826336,OPTIMAL,1430,50,0,21,2
3,16,9486.0,2.750702701075778,3.1084109989826336,OPTIMAL,1449,0,0,29,9
3,16,9618.0,2.7518405650509035,3.1084109989826336,OPTIMAL,1478,49,0,18,0
3,16,9708.0,2.7518405650509035,3.1084109989826336,OPTIMAL,1497,0,0,32,4
3,16,9825.0,2.7525488547388512,3.1084109989826336,OPTIMAL,1525,48,0,20,5
3,16,9920.0,2.7525488547388512,3.1084109989826336,OPTIMAL,1546,0,0,25,9
3,16,10077.0,2.761535523408649,3.1084109989826336,OPTIMAL,1583,34,0,26,5
3,16,10155.0,2.761535523408649,3.1084109989826336,OPTIMAL,1601,0,0,23,5
3,16,10276.0,2.7618614882999895,3.1084109989826336,OPTIMAL,1629,47,0,22,1
3,16,10365.0,2.7618614882999895,3.1084109989826336,OPTIMAL,1648,0,0,32,5
3,16,10497.0,2.762513377805943,3.1084109989826336,OPTIMAL,1678,46,0,21,1
3,16,10581.0,2.762513377805943,3.1084109989826336,OPTIMAL,1696,0,0,33,11
3,16,10727.0,2.76472857030008,3.1084109989826336,OPTIMAL,1731,47,0,24,1
3,16,10818.0,2.76472857030008,3.1084109989826336,OPTIMAL,1750,43,0,24,3
3,16,10938.0,2.7682373158407505,3.1084109989826336,OPTIMAL,1777,50,0,17,0
3,16,11032.0,2.7682373158407505,3.1084109989826336,OPTIMAL,1798,34,0,29,10
3,16,11162.0,2.76954106942945,3.1084109989826336,OPTIMAL,1829,34,0,26,8
3,16,11257.0,2.76954106942945,3.1084109989826336,OPTIMAL,1849,45,0,19,3
3,16,11407.0,2.7715807823487215,3.1084109989826336,OPTIMAL,1878,51,0,19,0
3,16,11495.0,2.7715807823487215,3.1084109989826336,OPTIMAL,1897,38,0,35,9
3,16,11618.0,2.7725715362370735,3.1084109989826336,OPTIMAL,1926,46,0,24,1
3,16,11698.0,2.7725715362370735,3.1084109989826336,OPTIMAL,1943,41,0,34,12
3,16,11843.0,2.772905260733351,3.1084109989826336,OPTIMAL,1977,47,0,23,1
3,16,11922.0,2.772905260733351,3.1084109989826336,OPTIMAL,1994,44,0,29,5
3,16,12061.0,2.776993401617985,3.1084109989826336,OPTIMAL,2026,47,0,23,1
3,16,12130.0,2.776993401617985,3.1084109989826336,OPTIMAL,2042,0,0,29,3
3,16,12254.0,2.779874655261377,3.1084109989826336,OPTIMAL,2070,7,0,21,1
3,16,12353.0,2.779874655261377,3.1084109989826336,OPTIMAL,2093,0,0,35,15
3,16,12483.0,2.781823955058038,3.1084109989826336,OPTIMAL,2128,6,0,23,1
3,16,12558.0,2.781823955058038,3.1084109989826336,OPTIMAL,2146,0,0,22,3
3,16,12669.0,2.7826729267257546,3.1084109989826336,OPTIMAL,2172,6,0,21,2
3,16,12762.0,2.7826729267257546,3.1084109989826336,OPTIMAL,2196,0,0,34,9
3,16,12885.0,2.7829376282407328,3.1084109989826336,OPTIMAL,2231,1,0,25,0
3,16,12957.0,2.7829376282407328,3.1084109989826336,OPTIMAL,2247,0,0,31,11
3,16,13078.0,2.784250081156544,3.1084109989826336,OPTIMAL,2278,3,0,25,2
3,16,13130.0,2.784250081156544,3.1084109989826336,OPTIMAL,2290,0,0,20,0
3,16,13227.0,2.7849952612346836,3.1084109989826336,OPTIMAL,2315,8,0,18,1
3,16,13304.0,2.7849952612346836,3.1084109989826336,OPTIMAL,2333,0,0,30,8
3,16,13435.0,2.788989073535626,3.1084109989826336,OPTIMAL,2364,4,0,21,0
3,16,13505.0,2.788989073535626,3.1084109989826336,OPTIMAL,2380,0,0,25,3
3,16,13626.0,2.7899418826122364,3.1084109989826336,OPTIMAL,2412,5,0,21,1
