seed,dimension,p,k,Ns,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,50,50,25.0,0.1,0.8399762136523655,0.0037350008411106694,0.004466415651238279,32382,Time limit reached,1802.978
1,50,50,25.0,1.0,0.5021126100319651,0.014698793080716699,0.030156701696839438,41352,Time limit reached,1804.683
1,50,50,25.0,5.0,0.5068305288629139,0.019352057801564182,0.03969828197628999,40665,Time limit reached,1804.695
1,50,50,25.0,10.0,0.5265439643163805,0.039157128513420236,0.08034096458290596,61617,Time limit reached,1805.032
2,50,50,25.0,0.1,0.8108838922071157,0.001939657386023086,0.002397764026901142,49826,Time limit reached,1803.268
2,50,50,25.0,1.0,0.29674654871157585,0.03127455498101733,0.11780736092545989,47733,Time limit reached,1801.776
2,50,50,25.0,5.0,0.2752792025462422,0.009655084131686309,0.036348672663141804,44533,Time limit reached,1803.967
2,50,50,25.0,10.0,0.29412725211384577,0.02862264730387054,0.10780471142621464,67106,Time limit reached,1801.875
3,50,50,25.0,0.1,0.8416469039802633,0.005340229029152765,0.006385491338407587,40647,Time limit reached,1802.875
3,50,50,25.0,1.0,0.49232625888629067,0.008551726192112752,0.017677090491902345,34775,Time limit reached,1804.614
3,50,50,25.0,5.0,0.4981649506005167,0.0146735625588032,0.030349170474857,34925,Time limit reached,1804.063
3,50,50,25.0,10.0,0.5028988053032853,0.01946443142211013,0.04026282050621074,49041,Time limit reached,1805.36
4,50,50,25.0,0.1,0.47880180423135565,0.0049194225367478195,0.010381104524620472,41416,Time limit reached,1803.904
4,50,50,25.0,1.0,-0.9570683220208057,0.04875757682762483,0.05094471910289063,20685,Time limit reached,1802.826
4,50,50,25.0,5.0,-1.0089725778406273,0.0792007319355581,0.0784964167262713,20610,Time limit reached,1804.168
4,50,50,25.0,10.0,-1.0303206364608943,0.05790945865829977,0.05620527883166176,33006,Time limit reached,1804.558
5,50,50,25.0,0.1,0.8239760994875609,0.0068931029857226545,0.008436233546939495,29077,Time limit reached,1803.879
5,50,50,25.0,1.0,0.4613773066411926,0.013550483925352352,0.03025831245028069,31863,Time limit reached,1804.907
5,50,50,25.0,5.0,0.4658717333701699,0.018034446268225424,0.04027008645244877,36311,Time limit reached,1803.732
5,50,50,25.0,10.0,0.4614366516900606,0.013633961970063557,0.030446360156051382,27199,Time limit reached,1804.529
6,50,50,25.0,0.1,0.909050701593275,0.02624134638505793,0.029724816836437712,58814,Time limit reached,1801.725
6,50,50,25.0,1.0,0.6255786315799641,0.010104686492431902,0.01641773233957909,40804,Time limit reached,1804.873
6,50,50,25.0,5.0,0.6408230565849934,0.02539441193368719,0.041262967127692486,71382,Time limit reached,1801.79
6,50,50,25.0,10.0,0.6408045808419942,0.025378938597198086,0.04123802593701999,63391,Time limit reached,1801.829
7,50,50,25.0,0.1,0.7742116418497522,0.005919316545972109,0.007704510836590267,24809,Time limit reached,1803.497
7,50,50,25.0,1.0,0.18329837823476453,0.02054807412390547,0.12625521184838423,28050,Time limit reached,1804.867
7,50,50,25.0,5.0,0.18642334711701328,0.02373170783127551,0.14586925262702133,31977,Time limit reached,1803.688
7,50,50,25.0,10.0,0.18601565508238233,0.02337074682580287,0.14369184425333803,29912,Time limit reached,1804.274
8,50,50,25.0,0.1,0.7122996556451228,0.01221446824123984,0.017447117095184657,37737,Time limit reached,1803.162
8,50,50,25.0,1.0,-0.20700861218090183,0.021780285976687463,0.10521439541681477,30293,Time limit reached,1802.957
8,50,50,25.0,5.0,-0.2006710231696017,0.03058460002377253,0.15241164140536254,35731,Time limit reached,1803.375
8,50,50,25.0,10.0,-0.2017145615427361,0.029558369647028043,0.14653562648607144,52291,Time limit reached,1804.56
9,50,50,25.0,0.1,0.7870525779316343,0.009868668057612884,0.01269798297704408,39141,Time limit reached,1803.368
9,50,50,25.0,1.0,0.1354884711432665,0.015656555445964906,0.1306543031951,38407,Time limit reached,1804.43
9,50,50,25.0,5.0,0.13737850008402197,0.01752954778426981,0.14626367146228325,38378,Time limit reached,1803.388
9,50,50,25.0,10.0,0.13217083751741635,0.012248222097054798,0.10213438102664316,32264,Time limit reached,1805.08
10,50,50,25.0,0.1,0.8328507229982246,0.004323678226564653,0.005218511880630582,25055,Time limit reached,1803.38
10,50,50,25.0,1.0,0.48912783240218466,0.01891812040315949,0.04023336804918804,30465,Time limit reached,1804.483
10,50,50,25.0,5.0,0.5009002892979244,0.030727577004836137,0.06535380765713537,60871,Time limit reached,1803.657
10,50,50,25.0,10.0,0.4998564176414151,0.029659364230802676,0.06307858378878829,47183,Time limit reached,1804.642
1,70,70,35.0,0.1,0.44031746021692914,0.02282346723768036,0.0546677739595999,21890,Time limit reached,1804.562
1,70,70,35.0,1.0,-1.3890840800011806,0.04800715577835102,0.034560295139449165,16221,Time limit reached,1804.881
1,70,70,35.0,5.0,-1.5583826678568518,0.08802300888302894,0.056483565107972866,17973,Time limit reached,1805.879
1,70,70,35.0,10.0,-1.5526951638505904,0.09372081049900416,0.060360083988786443,21922,Time limit reached,1805.805
2,70,70,35.0,0.1,0.8635729374480843,0.04678104388316717,0.057274128516371106,41617,Time limit reached,1801.76
2,70,70,35.0,1.0,0.2843021667961945,0.03603375828226882,0.14514032815515324,23515,Time limit reached,1801.984
2,70,70,35.0,5.0,0.28582501996519755,0.03754825084657229,0.15123545783146528,35704,Time limit reached,1801.952
2,70,70,35.0,10.0,0.28568345878682355,0.03755432157174385,0.1513499059128697,31225,Time limit reached,1801.872
3,70,70,35.0,0.1,0.6322465991864024,0.007484792448632205,0.011980233695325393,22928,Time limit reached,1804.756
3,70,70,35.0,1.0,-0.8262712854632354,0.09415662662074165,0.1139536472793609,44192,Time limit reached,1801.838
3,70,70,35.0,5.0,-0.9394368465969277,0.09628992600617525,0.1024974976817033,39165,Time limit reached,1801.989
3,70,70,35.0,10.0,-0.9386413774244792,0.09722100156769498,0.10357630071077614,34289,Time limit reached,1801.917
4,70,70,35.0,0.1,0.8934130266358712,0.06584991910950222,0.07957087321875815,20156,Time limit reached,1801.755
4,70,70,35.0,1.0,0.5297678963076655,0.05635098895797247,0.11903036854648788,25916,Time limit reached,1801.966
4,70,70,35.0,5.0,0.5294348237488671,0.05593924509492182,0.11814100831510631,34552,Time limit reached,1801.838
5,70,70,35.0,0.1,0.4699142745680881,0.021686813679609174,0.04838350072666555,20294,Time limit reached,1805.3
5,70,70,35.0,1.0,-1.3961402249775712,0.18884332296676076,0.13526099999718474,17546,Time limit reached,1801.85
5,70,70,35.0,5.0,-1.7072530576030664,0.165892914163003,0.09716949307791067,35941,Time limit reached,1801.99
5,70,70,35.0,10.0,-1.709655278050311,0.16349428746901706,0.09562997264306157,34450,Time limit reached,1802.102
6,70,70,35.0,0.1,0.7779321759254076,0.004535298071449256,0.0058641277218934714,30086,Time limit reached,1804.355
6,70,70,35.0,1.0,0.12583764119430313,0.05649706445707617,0.8147763851341681,22888,Time limit reached,1802.086
6,70,70,35.0,5.0,0.1291576448029713,0.059667694547429095,0.8586521407485146,35845,Time limit reached,1801.919
6,70,70,35.0,10.0,0.12626904441096468,0.05687016340237158,0.8194680170034704,32417,Time limit reached,1801.874
7,70,70,35.0,0.1,0.8950657649385793,0.055840097985238146,0.06653764319191481,40805,Time limit reached,1801.874
7,70,70,35.0,1.0,0.5380874348374264,0.042640206699926186,0.08606407358503247,25378,Time limit reached,1802.092
7,70,70,35.0,5.0,0.5412762140641039,0.04600090752580083,0.09287946909229415,34346,Time limit reached,1801.996
8,70,70,35.0,0.1,0.9428759082602531,0.031346060593322234,0.03438840831548497,45258,Time limit reached,1801.882
8,70,70,35.0,1.0,0.840623895935512,0.0321167907355252,0.03972357265503686,29995,Time limit reached,1802.138
8,70,70,35.0,5.0,0.8410960485290357,0.03270719776808406,0.040459733873489424,32246,Time limit reached,1802.127
8,70,70,35.0,10.0,0.8239742884462351,0.015781836036038444,0.019527324202266123,27074,Time limit reached,1811.483
9,70,70,35.0,0.1,0.22895179621613856,0.021306526456820102,0.1026102182896653,27871,Time limit reached,1805.308
9,70,70,35.0,1.0,-1.970813696168218,0.3087584234494869,0.15666545450226713,14467,Time limit reached,1801.946
9,70,70,35.0,5.0,-2.65053752259817,0.11491156272142788,0.04335405997527123,19037,Time limit reached,1805.873
9,70,70,35.0,10.0,-2.647175320786888,0.11822768252628402,0.044661825606299534,23360,Time limit reached,1806.109
10,70,70,35.0,0.1,0.9971627249381513,0.017931585771685854,0.018311903139589147,43479,Time limit reached,1802.119
10,70,70,35.0,1.0,0.9969404444481795,0.017845510542481957,0.018226537513879898,35949,Time limit reached,1802.208
10,70,70,35.0,5.0,0.9956592914339318,0.016608560933073613,0.016963943149888753,28222,Time limit reached,1802.152
10,70,70,35.0,10.0,0.997507238294562,0.018794052112079185,0.019202818943705333,22170,Time limit reached,1802.137
1,90,90,45.0,0.1,0.836027139905809,0.07601642539781384,0.1000202022770485,26147,Time limit reached,1801.972
1,90,90,45.0,1.0,0.02910851070751062,0.057440597235327996,Inf,7504,Time limit reached,1804.036
1,90,90,45.0,5.0,0.016460859681873524,0.04496733520057701,Inf,12114,Time limit reached,1809.762
1,90,90,45.0,10.0,0.015260153803214199,0.043645404357120464,Inf,10637,Time limit reached,1813.433
2,90,90,45.0,0.1,0.8229861560750843,0.08864197765446746,0.12070903570736174,14976,Time limit reached,1803.283
2,90,90,45.0,1.0,-0.08185655509841146,0.06309609537095544,0.7708129824801278,13481,Time limit reached,1803.738
2,90,90,45.0,5.0,-0.08321929814139101,0.06294479191955538,0.7563725400881308,12140,Time limit reached,1803.737
2,90,90,45.0,10.0,-0.0966251431252145,0.04983899192744176,0.5157973413074944,10777,Time limit reached,1814.411
3,90,90,45.0,0.1,0.45117445648126736,0.035188301377777564,0.08459007816984523,8570,Time limit reached,1817.052
3,90,90,45.0,1.0,-0.3039412986114327,0.328088258503327,1.0794461299014335,10582,Time limit reached,1803.731
3,90,90,45.0,5.0,-0.32071058621916515,0.3220772559001758,1.004261380009691,12386,Time limit reached,1803.757
3,90,90,45.0,10.0,-0.3235095274254761,0.319414612513067,0.9873422123144352,10876,Time limit reached,1803.582
4,90,90,45.0,0.1,0.4381259172059553,0.019574892659630194,0.04676823496214773,7067,Time limit reached,1815.036
4,90,90,45.0,1.0,-1.3607463713237462,0.2417622626038285,0.17766886445461547,13012,Time limit reached,1803.771
4,90,90,45.0,5.0,-1.6539443240052667,0.2446215590631775,0.14790193086475295,12678,Time limit reached,1803.782
4,90,90,45.0,10.0,-1.6538285718438948,0.244864134838213,0.14805895786720377,11539,Time limit reached,1803.94
5,90,90,45.0,0.1,0.8692761132992008,0.08948937551271963,0.11476134586072344,14726,Time limit reached,1802.88
5,90,90,45.0,1.0,0.3370039597128762,0.07822157451915174,0.3022677701211969,8368,Time limit reached,1803.982
5,90,90,45.0,5.0,0.3372048025680868,0.0781370436917323,0.30160852137924593,11882,Time limit reached,1803.798
5,90,90,45.0,10.0,0.3114607989707458,0.0523929234974958,0.20223628036392965,10316,Time limit reached,1814.714
6,90,90,45.0,0.1,0.8394008620905159,0.09964878653653297,0.13470565319050756,16298,Time limit reached,1803.243
6,90,90,45.0,1.0,0.061974031798993905,0.08415861052964783,Inf,7673,Time limit reached,1804.04
