seed,dimension,var_A,p,k,M,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,5,1,25,5.0,0.1,0.6330541727029532,0.006238038242867505,0.009951942682906051,1208,OPTIMAL,6.951
1,5,5,25,5.0,0.1,0.28694865548636417,0.0020145471396686987,0.007070221081491182,897,OPTIMAL,6.458
1,5,1,25,5.0,1.0,0.6330541727029194,0.006266560957103762,0.009997901744817943,24861,OPTIMAL,68.671
1,5,5,25,5.0,1.0,0.2867351506391778,0.002833152247556092,0.00997933182438529,37798,OPTIMAL,105.77
2,5,1,25,5.0,0.1,0.561558803563659,0.004645671566534837,0.008341824423990826,44,OPTIMAL,3.908
2,5,5,25,5.0,0.1,0.20313961626515484,0.001686821856970916,0.008373285969680198,97,OPTIMAL,4.39
2,5,1,25,5.0,1.0,0.5304053488365846,0.005216047258271073,0.009931746976938908,8998,OPTIMAL,22.201
2,5,5,25,5.0,1.0,0.15519907526447277,0.0014597731483164955,0.009495120169165186,14674,OPTIMAL,35.011
3,5,1,25,5.0,0.1,0.6595374915715047,0.0064063725717237174,0.009808708213956447,1475,OPTIMAL,8.326
3,5,5,25,5.0,0.1,0.38760816244687524,0.003584151978040906,0.009333145533439972,1668,OPTIMAL,7.067
3,5,1,25,5.0,1.0,0.6595374915714965,0.006526256774221029,0.009994095700737947,24694,OPTIMAL,61.373
3,5,5,25,5.0,1.0,0.3872486896147957,0.003804567172207951,0.00992209020697038,48260,OPTIMAL,136.561
1,10,1,50,10.0,0.1,0.4718474259178642,0.003053454547510104,0.006513425372311006,47,OPTIMAL,4.501
1,10,5,50,10.0,0.1,0.10447247263399045,0.000998040197055003,0.00964528312502007,2573,OPTIMAL,12.55
1,10,1,50,10.0,1.0,0.4044520130856808,0.04851508176314562,0.13630246679624058,495506,Time limit reached,1801.906
1,10,5,50,10.0,1.0,0.0902591366958451,0.028034193147106666,0.45052982852685997,466278,Time limit reached,1801.945
2,10,1,50,10.0,0.1,0.6484994987895639,0.007422229686074422,0.011577745840924905,458210,Time limit reached,1801.735
2,10,5,50,10.0,0.1,0.3194128293759913,0.006119386587023545,0.01953244387290136,297706,Time limit reached,1801.892
2,10,1,50,10.0,1.0,0.6485554811325057,0.01926046896104361,0.030606422406850044,289298,Time limit reached,1801.921
2,10,5,50,10.0,1.0,0.3342053208652731,0.06757509154664942,0.2534412235226976,276253,Time limit reached,1801.896
3,10,1,50,10.0,0.1,0.6680688253172661,0.008683548747612901,0.013169157784031334,304093,Time limit reached,1801.979
3,10,5,50,10.0,0.1,0.42004685877632925,0.010953559317458228,0.026775210769638784,306632,Time limit reached,1801.978
3,10,1,50,10.0,1.0,0.6681557145501444,0.01429314637663781,0.021859557454962052,290846,Time limit reached,1801.819
3,10,5,50,10.0,1.0,0.4254558994492899,0.06501091068827253,0.1803629200443015,270722,Time limit reached,1801.894
1,15,1,75,15.0,0.1,0.6931471805599453,0.06957260310003333,0.11157062140575474,242061,Time limit reached,1801.692
1,15,5,75,15.0,0.1,0.6931471805599453,0.4183066134539656,1.5219973450741162,236227,Time limit reached,1801.605
1,15,1,75,15.0,1.0,0.6504583794407992,0.033064352854699997,0.053554701585842086,211651,Time limit reached,1801.949
1,15,5,75,15.0,1.0,0.3220792325308254,0.06861964695589917,0.27073210429287253,199268,Time limit reached,1801.574
2,15,1,75,15.0,0.1,0.6931471805599453,0.0604210167953495,0.09549315368256052,249984,Time limit reached,1801.564
2,15,5,75,15.0,0.1,0.6931471805599453,0.4012518633403549,1.3746430301192414,249138,Time limit reached,1801.599
2,15,1,75,15.0,1.0,0.6535000643878349,0.02471650576448281,0.03930844791584039,217743,Time limit reached,1802.043
2,15,5,75,15.0,1.0,0.36802663846468014,0.09910577703043588,0.36853138318043405,196492,Time limit reached,1801.597
3,15,1,75,15.0,0.1,0.616218501365392,0.020132043985258474,0.033773697986263694,385953,Time limit reached,1802.307
3,15,5,75,15.0,0.1,0.24562640247334688,0.028161790147502697,0.1295005649255047,251101,Time limit reached,1801.858
3,15,1,75,15.0,1.0,0.6158751812552601,0.04492306668165358,0.07868097084674541,238819,Time limit reached,1801.623
3,15,5,75,15.0,1.0,0.6931471805599453,0.5150236003482306,2.891383609829098,196048,Time limit reached,1801.588
1,20,1,100,20.0,0.1,0.5596507470165679,0.02357817393105821,0.043983175254327406,231331,Time limit reached,1801.986
1,20,5,100,20.0,0.1,0.18887405695772497,0.03693379348041173,0.2430810150985848,208356,Time limit reached,1802.026
1,20,1,100,20.0,1.0,0.6931471805599454,0.1771976052289448,0.34343977338340864,180821,Time limit reached,1801.704
1,20,5,100,20.0,1.0,0.18977210524110733,0.051811305753219156,0.37555092421574265,170915,Time limit reached,1801.745
2,20,1,100,20.0,0.1,0.6931471805599454,0.061460638041749505,0.09729610163410932,194947,Time limit reached,1801.587
2,20,5,100,20.0,0.1,0.6931471805599454,0.40094807006484395,1.372174163656688,181583,Time limit reached,1801.446
2,20,1,100,20.0,1.0,0.6468034321990421,0.016044122095759228,0.02543620338022772,175667,Time limit reached,1802.004
2,20,5,100,20.0,1.0,0.34669029273719143,0.06431263678439453,0.22775398629679547,147627,Time limit reached,1802.062
3,20,1,100,20.0,0.1,0.6931471805599454,0.09191198228951714,0.15287192525307916,217520,Time limit reached,1801.614
3,20,5,100,20.0,0.1,0.27663200733009574,0.04565843352407334,0.1976781705876815,198456,Time limit reached,1802.07
3,20,1,100,20.0,1.0,0.6333805047337135,0.04001845401228643,0.06744356833004539,178994,Time limit reached,1801.993
3,20,5,100,20.0,1.0,0.29063290946463605,0.07797748255283907,0.3666846583002171,146232,Time limit reached,1802.05
