seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
9,27,1649.0,3.2613338793155915,3.3356267696550654,OPTIMAL,20,0,0,5,2
9,27,2823.0,3.2613338793155915,3.3356267696550654,OPTIMAL,33,0,0,5,2
9,27,2918.0,3.2764787990508983,3.3356267696550654,OPTIMAL,49,0,0,7,3
9,27,2989.0,3.2764787990508983,3.3356267696550654,OPTIMAL,60,0,0,6,5
9,27,3108.0,3.2800863215742635,3.3356267696550654,OPTIMAL,77,0,0,5,2
9,27,3189.0,3.2800863215742635,3.3356267696550654,OPTIMAL,90,0,0,6,2
9,27,3260.0,3.2851510023112183,3.3356267696550654,OPTIMAL,102,0,0,4,0
9,27,3354.0,3.2851510023112183,3.3356267696550654,OPTIMAL,118,0,0,6,6
9,27,3441.0,3.2911743044432784,3.3356267696550654,OPTIMAL,131,0,0,2,0
9,27,3506.0,3.2911743044432784,3.3356267696550654,OPTIMAL,142,0,0,3,2
9,27,3614.0,3.294841718819524,3.3356267696550654,OPTIMAL,161,0,0,4,2
9,27,3706.0,3.294841718819524,3.3356267696550654,OPTIMAL,177,0,0,2,4
9,27,3775.0,3.2964313067582616,3.3356267696550654,OPTIMAL,188,0,0,3,2
9,27,3863.0,3.2964313067582616,3.3356267696550654,OPTIMAL,203,0,0,5,1
9,27,3945.0,3.300090530038069,3.3356267696550654,OPTIMAL,218,0,0,5,3
9,27,4014.0,3.300090530038069,3.3356267696550654,OPTIMAL,230,0,0,7,3
9,27,4064.0,3.3016815578243746,3.3356267696550654,OPTIMAL,239,0,0,2,1
9,27,4139.0,3.3016815578243746,3.3356267696550654,OPTIMAL,253,0,0,5,5
9,27,4189.0,3.3019105689063872,3.3356267696550654,OPTIMAL,261,0,0,5,1
9,27,4266.0,3.3019105689063872,3.3356267696550654,OPTIMAL,275,0,0,7,2
9,27,4332.0,3.3027111652509227,3.3356267696550654,OPTIMAL,287,0,0,6,1
