seed,dimension,p,k,Ns,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,50,50,25.0,0.1,0.8399762136523655,0.003728333754880464,0.004458407422614353,33134,Time limit reached,1803.001
1,50,50,25.0,1.0,0.5021126100319651,0.014693796728555197,0.030146141936890237,42944,Time limit reached,1804.619
1,50,50,25.0,5.0,0.5068305288629139,0.019350139404434363,0.0396941904184691,41287,Time limit reached,1804.851
1,50,50,25.0,10.0,0.8662129150638476,0.0059830282030668425,0.006955150355099362,24,OPTIMAL,8.027
2,50,50,25.0,0.1,0.8108838922071157,0.001940914791972559,0.0023993221353802506,49431,Time limit reached,1803.462
2,50,50,25.0,1.0,0.29674654871157585,0.03127750183693678,0.11781976921666042,46954,Time limit reached,1801.89
2,50,50,25.0,5.0,0.2752792025462422,0.009655084131686309,0.036348672663141804,44575,Time limit reached,1804.124
2,50,50,25.0,10.0,0.36738773137710456,0.003547305657297384,0.00974961935656143,281,OPTIMAL,9.939
3,50,50,25.0,0.1,0.8416469039802633,0.0053380846170504315,0.006382910826068996,40779,Time limit reached,1803.031
3,50,50,25.0,1.0,0.49232625888629067,0.008551726192112752,0.017677090491902345,34725,Time limit reached,1804.959
3,50,50,25.0,5.0,0.4981649506005167,0.01467331621852741,0.030348645509209685,35302,Time limit reached,1803.942
3,50,50,25.0,10.0,0.856982568912064,0.004110106645876299,0.0048191339593205255,33,OPTIMAL,8.2
4,50,50,25.0,0.1,0.47880180423135565,0.004900345250726801,0.010340430817131345,41930,Time limit reached,1804.029
4,50,50,25.0,1.0,-0.9570683220208057,0.048762364196378916,0.0509497212209672,20075,Time limit reached,1802.817
4,50,50,25.0,5.0,-1.0089725778406273,0.0792007319355581,0.0784964167262713,20596,Time limit reached,1804.185
4,50,50,25.0,10.0,0.3333446594425755,0.0030234140863902303,0.009152950737788858,840,OPTIMAL,13.015
5,50,50,25.0,0.1,0.8239760994875609,0.006899094867372835,0.008443628725764747,28623,Time limit reached,1803.962
5,50,50,25.0,1.0,0.4613773066411926,0.013548385718794409,0.030253485395468988,32268,Time limit reached,1804.593
5,50,50,25.0,5.0,0.4658717333701699,0.018032383966672005,0.040265296005566144,36565,Time limit reached,1803.519
5,50,50,25.0,10.0,0.941719928409245,0.0038633042598715805,0.004119290902674552,30,OPTIMAL,8.153
6,50,50,25.0,0.1,0.909050701593275,0.026239740181598692,0.029722943335048217,59697,Time limit reached,1801.636
6,50,50,25.0,1.0,0.6255786315799641,0.0101018485272103,0.01641304563448407,40999,Time limit reached,1804.545
6,50,50,25.0,5.0,0.6408230565849934,0.025393117878083515,0.04126077767915779,71606,Time limit reached,1801.721
6,50,50,25.0,10.0,0.8748151635168242,0.006805121465559227,0.007839910987063574,127,OPTIMAL,9.044
7,50,50,25.0,0.1,0.7742116418497522,0.00591922181600868,0.007704386587269345,24936,Time limit reached,1803.369
7,50,50,25.0,1.0,0.18329837823476453,0.020543949594347743,0.12622667024156212,28440,Time limit reached,1804.641
7,50,50,25.0,5.0,0.18642334711701328,0.02373113607218788,0.14586522562932908,32052,Time limit reached,1803.607
7,50,50,25.0,10.0,0.6930363224575776,0.0052327920791302995,0.007607975021952972,80,OPTIMAL,8.496
8,50,50,25.0,0.1,0.7122996556451228,0.012207835118626553,0.017437477143277844,37840,Time limit reached,1803.101
8,50,50,25.0,1.0,-0.20700861218090183,0.02178245295106171,0.10522486345653262,29850,Time limit reached,1802.974
8,50,50,25.0,5.0,-0.2006710231696017,0.03058460002377253,0.15241164140536254,35633,Time limit reached,1803.368
8,50,50,25.0,10.0,0.2632042843917588,0.0025431639063218103,0.009756590862440859,1153,OPTIMAL,17.144
9,50,50,25.0,0.1,0.7870525779316343,0.009868883401773054,0.0126982635781403,38997,Time limit reached,1803.421
9,50,50,25.0,1.0,0.1354884711432665,0.015656555445964906,0.1306543031951,38370,Time limit reached,1804.435
9,50,50,25.0,5.0,0.13737850008402197,0.01752954778426981,0.14626367146228325,38358,Time limit reached,1803.286
9,50,50,25.0,10.0,0.6407601876218824,0.00487187478207729,0.007661525905893835,81,OPTIMAL,9.22
10,50,50,25.0,0.1,0.8328507229982246,0.004323678226564653,0.005218511880630582,25043,Time limit reached,1803.347
10,50,50,25.0,1.0,0.48912783240218466,0.01891812040315949,0.04023336804918804,30399,Time limit reached,1804.451
10,50,50,25.0,5.0,0.5009002892979244,0.030727577004836137,0.06535380765713537,61085,Time limit reached,1803.663
10,50,50,25.0,10.0,0.8661406604567691,0.004954768906420215,0.00575342554381656,28,OPTIMAL,8.699
1,70,70,35.0,0.1,0.44031746021692914,0.022821047988687337,0.054661662520374577,21947,Time limit reached,1804.877
1,70,70,35.0,1.0,-1.3890840800011806,0.048008333375237466,0.03456114289006657,16142,Time limit reached,1804.97
1,70,70,35.0,5.0,-1.5583826678568518,0.08802300888302894,0.056483565107972866,17987,Time limit reached,1805.978
1,70,70,35.0,10.0,0.2221550279958566,0.0021844951740218888,0.009930853673892867,2121,OPTIMAL,24.361
2,70,70,35.0,0.1,0.8635729374480843,0.04678052910526198,0.05727346217648409,41823,Time limit reached,1801.725
2,70,70,35.0,1.0,0.2843021667961945,0.036033160828597255,0.14513757240120465,23724,Time limit reached,1801.926
2,70,70,35.0,5.0,0.28582501996519755,0.03754825084657229,0.15123545783146528,35707,Time limit reached,1801.887
2,70,70,35.0,10.0,0.8199684635575483,0.0043973834539913215,0.005391784433348182,35,OPTIMAL,9.102
3,70,70,35.0,0.1,0.6322465991864024,0.007484792448632205,0.011980233695325393,22883,Time limit reached,1805.002
3,70,70,35.0,1.0,-0.8262712854632354,0.09415349605805223,0.11394985849625239,44586,Time limit reached,1801.78
