seed,dimension,var_A,p,k,M,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,5,1,25,5.0,0.1,0.6330541727029532,0.006238038242867505,0.009951942682906051,1208,OPTIMAL,5.469
1,5,5,25,5.0,0.1,0.28694865548636417,0.0020145471396686987,0.007070221081491182,897,OPTIMAL,4.862
1,5,1,25,5.0,1.0,0.6330541727029194,0.006266560957103762,0.009997901744817943,24861,OPTIMAL,53.718
1,5,5,25,5.0,1.0,0.2867351506391778,0.002833152247556092,0.00997933182438529,37798,OPTIMAL,74.806
2,5,1,25,5.0,0.1,0.561558803563659,0.004645671566534837,0.008341824423990826,44,OPTIMAL,3.215
2,5,5,25,5.0,0.1,0.20313961626515484,0.001686821856970916,0.008373285969680198,97,OPTIMAL,3.616
2,5,1,25,5.0,1.0,0.5304053488365846,0.005216047258271073,0.009931746976938908,8998,OPTIMAL,21.511
2,5,5,25,5.0,1.0,0.15519907526447277,0.0014597731483164955,0.009495120169165186,14674,OPTIMAL,31.086
3,5,1,25,5.0,0.1,0.6595374915715047,0.0064063725717237174,0.009808708213956447,1475,OPTIMAL,6.332
3,5,5,25,5.0,0.1,0.38760816244687524,0.003584151978040906,0.009333145533439972,1668,OPTIMAL,6.562
3,5,1,25,5.0,1.0,0.6595374915714965,0.006526256774221029,0.009994095700737947,24694,OPTIMAL,50.12
3,5,5,25,5.0,1.0,0.3872486896147957,0.003804567172207951,0.00992209020697038,48260,OPTIMAL,98.517
1,10,1,50,10.0,0.1,0.4718474259178642,0.003053454547510104,0.006513425372311006,47,OPTIMAL,4.185
1,10,5,50,10.0,0.1,0.10447247263399045,0.000998040197055003,0.00964528312502007,2573,OPTIMAL,10.101
1,10,1,50,10.0,1.0,0.4044520130856808,0.04856514539681578,0.13646231374649648,492110,Time limit reached,1801.8
1,10,5,50,10.0,1.0,0.0902591366958451,0.02805515117065463,0.45101854702369937,460200,Time limit reached,1801.913
2,10,1,50,10.0,0.1,0.6484994987895639,0.007186913075694634,0.011206567960450378,504664,Time limit reached,1801.992
2,10,5,50,10.0,0.1,0.3194128293759913,0.005909126371069939,0.018848665308993744,307464,Time limit reached,1801.945
2,10,1,50,10.0,1.0,0.6485554811325057,0.019224957486549954,0.030548267983526875,297308,Time limit reached,1801.759
2,10,5,50,10.0,1.0,0.3331033435656878,0.0661194230457583,0.24765320292321755,316958,Time limit reached,1801.515
3,10,1,50,10.0,0.1,0.6680688253172661,0.008668079185521815,0.01314538880395805,306482,Time limit reached,1801.648
3,10,5,50,10.0,0.1,0.42004685877632925,0.010897182324059618,0.026633730762172205,308524,Time limit reached,1802.002
3,10,1,50,10.0,1.0,0.6681557145501444,0.01422588593470775,0.021754453325409803,317821,Time limit reached,1801.978
3,10,5,50,10.0,1.0,0.4254558994492899,0.06479454258018069,0.1796547962406071,286142,Time limit reached,1801.51
1,15,1,75,15.0,0.1,0.6931471805599453,0.06951438971977497,0.11146686117342199,250640,Time limit reached,1801.682
1,15,5,75,15.0,0.1,0.6931471805599453,0.41829088346088766,1.5218530114670668,236564,Time limit reached,1801.701
1,15,1,75,15.0,1.0,0.6504583794407992,0.033073831146317345,0.053570876105797346,207267,Time limit reached,1801.649
1,15,5,75,15.0,1.0,0.3220792325308254,0.0686212259604026,0.27074002075896675,198047,Time limit reached,1802.032
2,15,1,75,15.0,0.1,0.6931471805599453,0.06041822620895787,0.09548832212195978,250630,Time limit reached,1801.705
2,15,5,75,15.0,0.1,0.6931471805599453,0.40124380289606476,1.374577458154962,249862,Time limit reached,1801.69
2,15,1,75,15.0,1.0,0.6535000643878349,0.024722252720768445,0.03931794707453626,215642,Time limit reached,1801.945
2,15,5,75,15.0,1.0,0.36802663846468014,0.09908821081691832,0.3684419950082316,199870,Time limit reached,1802.063
3,15,1,75,15.0,0.1,0.616218501365392,0.021134153986428483,0.03551455197824211,266109,Time limit reached,1801.674
3,15,5,75,15.0,0.1,0.24562640247334688,0.028180025583366852,0.1295952868307616,250058,Time limit reached,1801.941
3,15,1,75,15.0,1.0,0.6158751812552601,0.04492059863515663,0.07867630806817691,239759,Time limit reached,1801.991
3,15,5,75,15.0,1.0,0.6931471805599453,0.5150205181817664,2.8913162763266262,196402,Time limit reached,1801.466
1,20,1,100,20.0,0.1,0.5596507470165679,0.023612509867722675,0.04405004761099913,227896,Time limit reached,1801.657
1,20,5,100,20.0,0.1,0.18887405695772497,0.036876363966813375,0.24261133995644477,212582,Time limit reached,1802.076
1,20,1,100,20.0,1.0,0.6931471805599454,0.1771872874845678,0.34341290837247723,184895,Time limit reached,1801.366
1,20,5,100,20.0,1.0,0.18977210524110733,0.05180766950901938,0.37551466966185615,172695,Time limit reached,1802.05
2,20,1,100,20.0,0.1,0.6931471805599454,0.06146397469834741,0.0973018977360848,193617,Time limit reached,1801.702
2,20,5,100,20.0,0.1,0.6931471805599454,0.40092651395966167,1.3719991765951038,182977,Time limit reached,1801.674
2,20,1,100,20.0,1.0,0.6468034321990421,0.016042235586946618,0.025433136459743648,177575,Time limit reached,1801.692
2,20,5,100,20.0,1.0,0.34669029273719143,0.06430828825869506,0.22773507956875555,151168,Time limit reached,1801.689
3,20,1,100,20.0,0.1,0.6931471805599454,0.09168325938255806,0.1524335145540979,250694,Time limit reached,1801.291
3,20,5,100,20.0,0.1,0.27663200733009574,0.045605775949472516,0.19740518501700147,201771,Time limit reached,1801.933
3,20,1,100,20.0,1.0,0.6333805047337135,0.04001760170291879,0.06744203504889812,180189,Time limit reached,1802.027
3,20,5,100,20.0,1.0,0.29063290946463605,0.077973997741307,0.36666226263187035,146979,Time limit reached,1802.113
