seed,dimension,var_A,M,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,5,1,0.1,0.561017178215877,8.914683369276588e-8,1.5890217148411097e-7,19,OPTIMAL,6.98
1,5,5,0.1,0.17013998171893607,6.895497120518179e-8,4.0528392242003223e-7,19,OPTIMAL,6.916
1,5,1,1.0,0.5610171782158274,5.563267324593113e-8,9.916394884665081e-8,29,OPTIMAL,6.935
1,5,5,1.0,0.1701399817189199,5.6461152725395536e-8,3.3185128440520457e-7,34,OPTIMAL,8.226
2,5,1,0.1,0.6388970613934949,7.932099965746175e-8,1.2415303543954015e-7,17,OPTIMAL,7.211
2,5,5,0.1,0.2972560059455309,8.860585543057908e-8,2.98079366168946e-7,20,OPTIMAL,7.279
2,5,1,1.0,0.6388970613934827,8.029048914615089e-8,1.2567047821628012e-7,32,OPTIMAL,7.249
2,5,5,1.0,0.29725600594551926,5.0743076240866714e-8,1.7070499464445946e-7,36,OPTIMAL,7.282
3,5,1,0.1,0.6501357879783466,5.921753143400821e-8,9.108487476434991e-8,17,OPTIMAL,7.131
3,5,5,0.1,0.337609345163554,5.280038412047716e-8,1.5639493732796676e-7,21,OPTIMAL,5.135
3,5,1,1.0,0.6501357879783406,3.198856735053823e-8,4.9202904248572694e-8,30,OPTIMAL,5.216
3,5,5,1.0,0.33760934516354946,7.78538507550941e-8,2.3060341730393474e-7,35,OPTIMAL,5.227
1,10,1,0.1,0.5458764634955549,6.288653797703603e-8,1.1520288824883348e-7,19,OPTIMAL,5.204
1,10,5,0.1,0.164076227501058,9.517327931307662e-8,5.800555995734149e-7,25,OPTIMAL,5.334
1,10,1,1.0,0.5458764634955288,5.9221035297873925e-8,1.0848799258246502e-7,41,OPTIMAL,5.14
1,10,5,1.0,0.16407622750102263,7.48365542868612e-8,4.5610866095757433e-7,52,OPTIMAL,5.255
2,10,1,0.1,0.5887953632346095,7.099091103857091e-8,1.2056976673174258e-7,22,OPTIMAL,4.982
2,10,5,0.1,0.20137971596839935,4.669880043772778e-8,2.3189431488840778e-7,24,OPTIMAL,5.087
2,10,1,1.0,0.5887953632345929,5.4819159545083096e-8,9.310393401844943e-8,39,OPTIMAL,5.192
2,10,5,1.0,0.20137971596839177,4.603597111851876e-8,2.2860287304059836e-7,48,OPTIMAL,5.62
3,10,1,0.1,0.6513300399641601,7.060790918611559e-8,1.0840574287699628e-7,23,OPTIMAL,5.289
3,10,5,0.1,0.34839901635783044,9.250931387594363e-8,2.6552697940067853e-7,29,OPTIMAL,5.409
3,10,1,1.0,0.6513300399641441,9.090590225024897e-8,1.395696641643607e-7,41,OPTIMAL,5.494
3,10,5,1.0,0.34839901635781945,3.732964970470931e-8,1.0714626606782056e-7,54,OPTIMAL,5.731
1,15,1,0.1,0.5959987750261826,9.259728084298757e-8,1.5536490863641087e-7,24,OPTIMAL,5.665
1,15,5,0.1,0.2176120661045836,5.319039089735078e-8,2.444276406667147e-7,29,OPTIMAL,6.01
1,15,1,1.0,0.5959987750261646,5.8185692708434544e-8,9.762721137537085e-8,47,OPTIMAL,6.127
1,15,5,1.0,0.2176120661045785,7.096123150196476e-8,3.260906249916079e-7,59,OPTIMAL,6.241
2,15,1,0.1,0.6145464161921876,4.730033853483917e-8,7.696789197555786e-8,24,OPTIMAL,5.754
2,15,5,0.1,0.24076834257868873,5.6320902469542133e-8,2.3392159883233276e-7,27,OPTIMAL,5.902
2,15,1,1.0,0.614546416192183,7.806143031974244e-8,1.2702285487076463e-7,49,OPTIMAL,6.114
2,15,5,1.0,0.24076834257868474,4.58211646958695e-8,1.9031228493515663e-7,56,OPTIMAL,6.247
3,15,1,0.1,0.29607562128489934,8.039918336644192e-8,2.715495617298414e-7,15,OPTIMAL,5.52
3,15,5,0.1,0.03355646171879251,5.982028008361118e-8,1.782678615679086e-6,18,OPTIMAL,6.176
3,15,1,1.0,0.23502509075531816,9.99377391397438e-8,4.2522175532096144e-7,40,OPTIMAL,6.04
3,15,5,1.0,0.03319014250626025,6.856442077984859e-8,2.065811028321216e-6,45,OPTIMAL,6.461
1,20,1,0.1,0.5403238609703604,5.963286531240897e-8,1.1036505363042725e-7,28,OPTIMAL,8.447
1,20,5,0.1,0.15564498776596003,5.3255554050002374e-8,3.4216053492214266e-7,31,OPTIMAL,8.963
1,20,1,1.0,0.5403238609703385,4.76231254431525e-8,8.813812063572663e-8,57,OPTIMAL,8.955
1,20,5,1.0,0.15564498776595007,4.658562402504174e-8,2.993070232271082e-7,60,OPTIMAL,9.441
2,20,1,0.1,0.6207281102912593,9.152031110737369e-8,1.4744027712585848e-7,28,OPTIMAL,8.352
2,20,5,0.1,0.26204200212129963,5.363882504827444e-8,2.0469556633548623e-7,45,OPTIMAL,8.945
2,20,1,1.0,0.620728110291241,4.925660224142092e-8,7.935294911481734e-8,56,OPTIMAL,8.999
2,20,5,1.0,0.2620420021212945,6.012281456024837e-8,2.2943966184084046e-7,71,OPTIMAL,9.515
3,20,1,0.1,0.6055117518916326,7.871789797775364e-8,1.3000227983246118e-7,30,OPTIMAL,8.504
3,20,5,0.1,0.23014831093586563,5.3389197673947564e-8,2.3197741422448812e-7,32,OPTIMAL,8.933
3,20,1,1.0,0.6055117518915962,3.4481657196216986e-8,5.6946308724976285e-8,53,OPTIMAL,9.047
3,20,5,1.0,0.23014831093585741,5.9584065292828114e-8,2.5889427767909105e-7,77,OPTIMAL,9.653
