seed,num_v,solution,dual_gap,rel_dual_gap,number_nodes,ncalls,termination,time
1,4,-271.01171330788446,3.558935041487871,0.013132034029262498,139,3257,Time limit reached,1804.125
1,5,-296.2328406095605,8.849038859420375,0.029871903605324924,121,2974,Time limit reached,1804.821
1,6,-220.4497816902557,14.373991573223634,0.06520302022081337,85,2637,Time limit reached,1804.637
1,7,-192.13083878378455,23.047282763299677,0.11995618667566459,89,2288,Time limit reached,1805.435
1,8,-105.9148864611476,25.75779207783313,0.24319331246492695,69,2495,Time limit reached,1807.566
2,4,-373.6550302426593,5.877390076298923,0.015729455247750913,181,3612,Time limit reached,1802.693
2,5,-210.9776745246679,15.824271448381694,0.07500448321858573,35,1030,Time limit reached,1806.222
2,6,-227.86464758902537,15.325964547893761,0.06725907116375303,237,6966,Time limit reached,1803.615
2,7,-160.5123476237869,30.013452133075845,0.18698531656531603,69,2033,Time limit reached,1806.408
2,8,-170.24487412001486,30.57523873320099,0.17959564945049003,39,1279,Time limit reached,1807.1
3,4,-350.8591606370959,7.392437834774114,0.021069530638307413,159,2694,Time limit reached,1803.392
3,5,-303.58076278784307,14.28154472417026,0.047043642004914836,81,2059,Time limit reached,1804.421
3,6,-197.47775222227224,22.524406699937032,0.11406047742828546,39,1040,Time limit reached,1807.293
3,7,-154.15950880984462,28.717001861487603,0.18628109341545682,67,2129,Time limit reached,1805.37
3,8,-156.9874463178072,29.006473597778722,0.18476938301842097,29,877,Time limit reached,1811.173
