seed,dimension,p,k,Ns,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,50,50,25.0,0.1,0.8399762136523657,0.004141761364519936,0.004955241260016392,3627,Time limit reached,1812.067
1,50,50,25.0,1.0,0.5414293278046274,0.0548466023266963,0.11271793973537572,4793,Time limit reached,1806.769
1,50,50,25.0,5.0,0.5417959610060258,0.0553609975951056,0.11380965958308163,5982,Time limit reached,1806.814
1,50,50,25.0,10.0,0.8662129150638476,0.0059830282030668425,0.006955150355099362,24,OPTIMAL,15.054
2,50,50,25.0,0.1,0.8108838922071155,0.0022936712339008958,0.0028366299448195726,3527,Time limit reached,1809.973
2,50,50,25.0,1.0,0.29412725211384577,0.0297569381651272,0.11255778956671862,4687,Time limit reached,1810.088
2,50,50,25.0,5.0,0.2986694469187638,0.03405841811380289,0.1287112569253741,5980,Time limit reached,1810.661
2,50,50,25.0,10.0,0.3673877243209401,0.003505157062287545,0.009632660032861737,169,OPTIMAL,19.636
3,50,50,25.0,0.1,0.8416469039802631,0.006003616874865503,0.007184425421116656,3517,Time limit reached,1811.423
3,50,50,25.0,1.0,0.5269843816471264,0.044274217620755896,0.09172008571656509,4829,Time limit reached,1811.482
3,50,50,25.0,5.0,0.526764863737885,0.04391146413630642,0.09094160706446203,6229,Time limit reached,1808.757
3,50,50,25.0,10.0,0.856982568912064,0.004110106645876299,0.0048191339593205255,33,OPTIMAL,15.185
4,50,50,25.0,0.1,0.4787996620524595,0.007833267294788837,0.01663232744837206,5741,Time limit reached,1807.758
4,50,50,25.0,1.0,-0.7649456986843051,0.2415098620009677,0.31572157659865396,4863,Time limit reached,1805.401
4,50,50,25.0,5.0,-0.9854647018276356,0.10288660497518987,0.1044041504321536,7163,Time limit reached,1810.823
4,50,50,25.0,10.0,0.33334466304480603,0.003163697036621671,0.009581706283284818,654,OPTIMAL,18.727
5,50,50,25.0,0.1,0.8281524838722624,0.011599052364236861,0.0142048908456799,3960,Time limit reached,1813.292
5,50,50,25.0,1.0,0.5069048674369342,0.059866880852705695,0.13391900162700357,4871,Time limit reached,1811.608
5,50,50,25.0,5.0,0.5106140245618183,0.06332125762450258,0.14156557473100503,6481,Time limit reached,1806.199
5,50,50,25.0,10.0,0.941719928409245,0.003863304259868916,0.004119290902671699,30,OPTIMAL,9.629
6,50,50,25.0,0.1,0.909050701593275,0.027170509442493218,0.030809751352083515,3047,Time limit reached,1804.15
6,50,50,25.0,1.0,0.6408587382176781,0.026546532888191754,0.043213422520155725,4576,Time limit reached,1812.13
6,50,50,25.0,5.0,0.6381644517413704,0.023571267237063376,0.038352633630446956,6157,Time limit reached,1803.945
6,50,50,25.0,10.0,0.8747496515098362,0.007753459545137065,0.008942899192633082,87,OPTIMAL,10.739
7,50,50,25.0,0.1,0.7742116418497522,0.007006592911506404,0.009132620961244979,4803,Time limit reached,1808.914
7,50,50,25.0,1.0,0.22576723137184143,0.0637246582840223,0.3932587410191682,6794,Time limit reached,1803.836
7,50,50,25.0,5.0,0.22559359007699392,0.06339227765162864,0.39082469003324327,9168,Time limit reached,1807.723
