seed,dimension,p,k,num_nodes,solution,termination,time
1,15,75,3.0,131,2.233505424747125,Optimal,3865.0
1,16,80,4.0,2811,2.2503008692496866,Optimal,82036.0
1,17,85,4.0,483,1.6411333382099325,Optimal,15141.0
1,18,90,4.0,573,2.156657647874256,Optimal,16971.0
1,19,95,4.0,633,1.751439787383729,Optimal,18108.0
1,20,100,4.0,2079,2.274966169140845,Optimal,63876.0
1,21,105,5.0,2041,1.7617934293199222,Optimal,76549.0
1,22,110,5.0,551,1.9304536953281681,Optimal,19746.0
1,23,115,5.0,1625,1.8673938641025773,Optimal,51638.0
1,24,120,5.0,2915,2.0339481191186666,Optimal,82999.0
1,25,125,5.0,3657,1.9185730180751268,Optimal,159458.0
1,26,130,6.0,45799,1.8799548727767275,Time limit reached,1.800024e6
1,27,135,6.0,8633,1.686596502158609,Optimal,331985.0
1,28,140,6.0,29589,2.262447275366535,Optimal,1.65493e6
1,29,145,6.0,18801,2.067934740495721,Optimal,1.060917e6
1,30,150,6.0,9803,2.0182476143543493,Optimal,503603.0
2,15,75,3.0,627,1.5912316435593046,Optimal,18806.0
2,16,80,4.0,5855,1.5377805987810413,Optimal,181311.0
2,17,85,4.0,13191,1.9730811228354324,Optimal,417947.0
2,18,90,4.0,6813,1.908610537085859,Optimal,222457.0
2,19,95,4.0,13611,2.0984356259251062,Optimal,471299.0
2,20,100,4.0,4355,1.711630373313791,Optimal,166385.0
2,21,105,5.0,70113,2.033417342422229,Time limit reached,1.800104e6
2,22,110,5.0,57647,2.0697235819598405,Time limit reached,1.800017e6
2,23,115,5.0,47251,2.149507305335414,Time limit reached,1.800048e6
2,24,120,5.0,50889,1.6462726526470348,Time limit reached,1.800011e6
2,25,125,5.0,45867,1.8317036324886473,Time limit reached,1.800016e6
2,26,130,6.0,68137,Inf,Time limit reached,1.800042e6
2,27,135,6.0,65289,Inf,Time limit reached,1.800066e6
2,28,140,6.0,62785,Inf,Time limit reached,1.800029e6
2,29,145,6.0,58523,Inf,Time limit reached,1.800066e6
2,30,150,6.0,58215,Inf,Time limit reached,1.800061e6
3,15,75,3.0,3899,3.358072348325635,Optimal,110278.0
3,16,80,4.0,13205,3.0488327260777894,Optimal,298261.0
3,17,85,4.0,17843,3.527874572936922,Optimal,504433.0
3,18,90,4.0,14157,3.2649694211023452,Optimal,399482.0
3,19,95,4.0,23405,3.6329552729752366,Optimal,847390.0
3,20,100,4.0,19261,3.4232719602904447,Optimal,540569.0
3,21,105,5.0,12653,3.7183878163517776,Optimal,343455.0
3,22,110,5.0,37573,3.557784868595244,Optimal,927861.0
3,23,115,5.0,50515,4.020544123983409,Time limit reached,1.800044e6
3,24,120,5.0,61363,4.044504038673026,Time limit reached,1.800039e6
3,25,125,5.0,50247,4.531488526748332,Time limit reached,1.800014e6
3,26,130,6.0,67729,Inf,Time limit reached,1.800063e6
3,27,135,6.0,64639,Inf,Time limit reached,1.800027e6
3,28,140,6.0,62719,Inf,Time limit reached,1.800041e6
3,29,145,6.0,60077,Inf,Time limit reached,1.80006e6
3,30,150,6.0,55973,Inf,Time limit reached,1.800044e6
4,15,75,3.0,763,5.039095683076618,Optimal,15927.0
4,16,80,4.0,823,4.873908839059841,Optimal,18347.0
4,17,85,4.0,411,4.1659018259254506,Optimal,11954.0
4,18,90,4.0,1983,4.507731386293166,Optimal,40241.0
4,19,95,4.0,855,4.659486392830339,Optimal,19533.0
4,20,100,4.0,4179,5.580431926551832,Optimal,86840.0
4,21,105,5.0,1003,5.061110336605566,Optimal,34463.0
4,22,110,5.0,2747,5.233153359173945,Optimal,72252.0
4,23,115,5.0,627,5.266119158393655,Optimal,18681.0
4,24,120,5.0,911,5.147651899939864,Optimal,36541.0
4,25,125,5.0,689,4.560053740657682,Optimal,20883.0
4,26,130,6.0,4683,4.860195063131383,Optimal,171327.0
4,27,135,6.0,4095,5.07558434218833,Optimal,174197.0
4,28,140,6.0,2963,5.8042389397417,Optimal,100735.0
4,29,145,6.0,3855,5.521064183857366,Optimal,184762.0
4,30,150,6.0,8255,5.765371069823552,Optimal,434127.0
5,15,75,3.0,95,3.5392804700769105,Optimal,3040.0
5,16,80,4.0,135,3.9792899393023644,Optimal,3809.0
5,17,85,4.0,633,4.797240815506319,Optimal,16318.0
5,18,90,4.0,535,4.646801493545148,Optimal,16354.0
5,19,95,4.0,771,5.05299575917564,Optimal,14862.0
5,20,100,4.0,1113,5.196343808009517,Optimal,31708.0
5,21,105,5.0,2575,5.4892162175313475,Optimal,68538.0
5,22,110,5.0,841,5.183924707839526,Optimal,20727.0
5,23,115,5.0,975,5.519346768360698,Optimal,33997.0
5,24,120,5.0,2769,5.482102646590001,Optimal,99214.0
5,25,125,5.0,5017,6.063690033837794,Optimal,218094.0
5,26,130,6.0,3491,5.8766371987232064,Optimal,150416.0
5,27,135,6.0,13509,6.3333371860287055,Optimal,557293.0
5,28,140,6.0,8485,6.366692038139141,Optimal,428239.0
5,29,145,6.0,10565,6.393896465410627,Optimal,359814.0
5,30,150,6.0,10575,6.192059849759359,Optimal,337048.0
6,15,75,3.0,9,3.4208859350153786,Optimal,1588.0
6,16,80,4.0,17,4.270681988113168,Optimal,1782.0
6,17,85,4.0,31,3.4324279974296803,Optimal,1694.0
