seed,numV,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Afw,solutionBoscia_Afw,terminationBoscia_Afw,numberNodesBoscia_Afw,dualGapBoscia_Afw,lbBoscia_Afw,relGapBoscia_Afw,timeBoscia_No_As_No_Ss,solutionBoscia_No_As_No_Ss,terminationBoscia_No_As_No_Ss,numberNodesBoscia_No_As_No_Ss,dualGapBoscia_No_As_No_Ss,lbBoscia_No_As_No_Ss,relGapBoscia_No_As_No_Ss,timeBoscia_No_As,solutionBoscia_No_As,terminationBoscia_No_As,numberNodesBoscia_No_As,dualGapBoscia_No_As,lbBoscia_No_As,relGapBoscia_No_As,timeBoscia_No_Ss,solutionBoscia_No_Ss,terminationBoscia_No_Ss,numberNodesBoscia_No_Ss,dualGapBoscia_No_Ss,lbBoscia_No_Ss,relGapBoscia_No_Ss,timeBoscia_Global_Tightening,solutionBoscia_Global_Tightening,terminationBoscia_Global_Tightening,numberNodesBoscia_Global_Tightening,dualGapBoscia_Global_Tightening,lbBoscia_Global_Tightening,relGapBoscia_Global_Tightening,timeBoscia_Local_Tightening,solutionBoscia_Local_Tightening,terminationBoscia_Local_Tightening,numberNodesBoscia_Local_Tightening,dualGapBoscia_Local_Tightening,lbBoscia_Local_Tightening,relGapBoscia_Local_Tightening,timeBoscia_No_Tightening,solutionBoscia_No_Tightening,terminationBoscia_No_Tightening,numberNodesBoscia_No_Tightening,dualGapBoscia_No_Tightening,lbBoscia_No_Tightening,relGapBoscia_No_Tightening,timeBoscia_Strong_Convexity,solutionBoscia_Strong_Convexity,terminationBoscia_Strong_Convexity,numberNodesBoscia_Strong_Convexity,dualGapBoscia_Strong_Convexity,lbBoscia_Strong_Convexity,relGapBoscia_Strong_Convexity,minimumTime
1,4,6.733,-27719.08006761879,1,4,0.0,-27719.08006761879,0.0,9.819,-27719.08006761879,1,5,0.0,-27719.08006761879,0.0,7.376,-27719.08006761879,1,4,0.0,-27719.08006761879,0.0,9.441,-27719.08006761879,1,5,0.0,-27719.08006761879,0.0,9.009,-27719.08006761879,1,3,0.0,-27719.08006761879,0.0,11.289,-27719.08006761879,1,4,0.0,-27719.08006761879,0.0,11.013,-27719.08006761879,1,4,0.0,-27719.08006761879,0.0,11.519,-27719.08006761879,1,4,0.0,-27719.08006761879,0.0,11.169,-27719.08006761879,1,4,0.0,-27719.08006761879,0.0,6.733
1,5,3.921,21621.882150493726,1,2,0.0,21621.882150493726,0.0,7.198,21621.882150493726,1,3,0.0,21621.882150493726,0.0,6.153,21621.882150493726,1,3,0.0,21621.882150493726,0.0,5.94,21621.882150493726,1,3,0.0,21621.882150493726,0.0,7.762,21621.882150493726,1,2,0.0,21621.882150493726,0.0,8.26,21621.882150493726,1,2,0.0,21621.882150493726,0.0,7.892,21621.882150493726,1,2,0.0,21621.882150493726,0.0,8.313,21621.882150493726,1,2,0.0,21621.882150493726,0.0,7.993,21621.882150493726,1,2,0.0,21621.882150493726,0.0,3.921
1,6,2.743,39996.88473133878,1,2,0.0,39996.88473133878,0.0,5.287,39996.88473133878,1,3,0.0,39996.88473133878,0.0,4.861,39996.88473133878,1,3,0.0,39996.88473133878,0.0,4.677,39996.88473133878,1,3,0.0,39996.88473133878,0.0,6.502,39996.88473133878,1,2,0.0,39996.88473133878,0.0,7.015,39996.88473133878,1,2,0.0,39996.88473133878,0.0,7.194,39996.88473133878,1,2,0.0,39996.88473133878,0.0,6.935,39996.88473133878,1,2,0.0,39996.88473133878,0.0,6.73,39996.88473133878,1,2,0.0,39996.88473133878,0.0,2.743
1,7,2.803,13872.362100414519,1,2,0.0,13872.362100414519,0.0,5.642,13872.362100414519,1,3,0.0,13872.362100414519,0.0,4.518,13872.362100414519,1,3,0.0,13872.362100414519,0.0,4.881,13872.362100414519,1,3,0.0,13872.362100414519,0.0,6.812,13872.362100414519,1,2,0.0,13872.362100414519,0.0,7.244,13872.362100414519,1,2,0.0,13872.362100414519,0.0,7.536,13872.362100414519,1,2,0.0,13872.362100414519,0.0,7.22,13872.362100414519,1,2,0.0,13872.362100414519,0.0,6.967,13872.362100414519,1,2,0.0,13872.362100414519,0.0,2.803
1,8,2.425,41964.88332034584,1,2,0.0,41964.88332034584,0.0,5.008,41964.88332034584,1,3,0.0,41964.88332034584,0.0,4.076,41964.88332034584,1,3,0.0,41964.88332034584,0.0,4.37,41964.88332034584,1,3,0.0,41964.88332034584,0.0,6.346,41964.88332034584,1,2,0.0,41964.88332034584,0.0,6.56,41964.88332034584,1,2,0.0,41964.88332034584,0.0,7.038,41964.88332034584,1,2,0.0,41964.88332034584,0.0,6.778,41964.88332034584,1,2,0.0,41964.88332034584,0.0,6.496,41964.88332034584,1,2,0.0,41964.88332034584,0.0,2.425
2,4,12.626,-21806.95978267962,1,4,0.0,-21806.95978267962,0.0,18.625,-21806.95978267962,1,5,0.0,-21806.95978267962,0.0,12.901,-21806.95978267962,1,4,0.0,-21806.95978267962,0.0,14.035,-21806.95978267962,1,5,0.0,-21806.95978267962,0.0,13.876,-21806.95978267962,1,3,0.0,-21806.95978267962,0.0,16.133,-21806.95978267962,1,4,0.0,-21806.95978267962,0.0,16.713,-21806.95978267962,1,4,0.0,-21806.95978267962,0.0,16.835,-21806.95978267962,1,4,0.0,-21806.95978267962,0.0,16.911,-21806.95978267962,1,4,0.0,-21806.95978267962,0.0,12.626
2,5,2.616,16463.960978327195,1,2,0.0,16463.960978327195,0.0,5.051,16463.960978327195,1,3,0.0,16463.960978327195,0.0,4.692,16463.960978327195,1,3,0.0,16463.960978327195,0.0,4.537,16463.960978327195,1,3,0.0,16463.960978327195,0.0,6.32,16463.960978327195,1,2,0.0,16463.960978327195,0.0,6.847,16463.960978327195,1,2,0.0,16463.960978327195,0.0,6.529,16463.960978327195,1,2,0.0,16463.960978327195,0.0,6.798,16463.960978327195,1,2,0.0,16463.960978327195,0.0,6.571,16463.960978327195,1,2,0.0,16463.960978327195,0.0,2.616
2,6,9.551,11.775436260639696,1,4,0.0,11.775436260639696,0.0,13.694,11.775436260639696,1,5,0.0,11.775436260639696,0.0,8.827,11.775436260639696,1,4,0.0,11.775436260639696,0.0,10.861,11.775436260639696,1,5,0.0,11.775436260639696,0.0,10.96,11.775436260639696,1,3,0.0,11.775436260639696,0.0,13.009,11.775436260639696,1,4,0.0,11.775436260639696,0.0,14.398,11.775436260639696,1,4,0.0,11.775436260639696,0.0,13.556,11.775436260639696,1,4,0.0,11.775436260639696,0.0,13.491,11.775436260639696,1,4,0.0,11.775436260639696,0.0,8.827
2,7,13.218,-63078.90564121283,1,4,0.0,-63078.90564121283,0.0,19.261,-63078.90564121283,1,5,0.0,-63078.90564121283,0.0,11.831,-63078.90564121283,1,4,0.0,-63078.90564121283,0.0,14.937,-63078.90564121283,1,5,0.0,-63078.90564121283,0.0,13.586,-63078.90564121283,1,3,0.0,-63078.90564121283,0.0,16.901,-63078.90564121283,1,4,0.0,-63078.90564121283,0.0,18.996,-63078.90564121283,1,4,0.0,-63078.90564121283,0.0,17.767,-63078.90564121283,1,4,0.0,-63078.90564121283,0.0,18.052,-63078.90564121283,1,4,0.0,-63078.90564121283,0.0,11.831
2,8,2.616,15406.993207279134,1,2,0.0,15406.993207279134,0.0,5.205,15406.993207279134,1,3,0.0,15406.993207279134,0.0,4.12,15406.993207279134,1,3,0.0,15406.993207279134,0.0,4.21,15406.993207279134,1,3,0.0,15406.993207279134,0.0,6.314,15406.993207279134,1,2,0.0,15406.993207279134,0.0,6.298,15406.993207279134,1,2,0.0,15406.993207279134,0.0,7.228,15406.993207279134,1,2,0.0,15406.993207279134,0.0,6.633,15406.993207279134,1,2,0.0,15406.993207279134,0.0,5.867,15406.993207279134,1,2,0.0,15406.993207279134,0.0,2.616
