seed,dimension,Ns,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Afw,solutionBoscia_Afw,terminationBoscia_Afw,numberNodesBoscia_Afw,dualGapBoscia_Afw,lbBoscia_Afw,relGapBoscia_Afw,timeBoscia_No_As_No_Ss,solutionBoscia_No_As_No_Ss,terminationBoscia_No_As_No_Ss,numberNodesBoscia_No_As_No_Ss,dualGapBoscia_No_As_No_Ss,lbBoscia_No_As_No_Ss,relGapBoscia_No_As_No_Ss,timeBoscia_No_As,solutionBoscia_No_As,terminationBoscia_No_As,numberNodesBoscia_No_As,dualGapBoscia_No_As,lbBoscia_No_As,relGapBoscia_No_As,timeBoscia_No_Ss,solutionBoscia_No_Ss,terminationBoscia_No_Ss,numberNodesBoscia_No_Ss,dualGapBoscia_No_Ss,lbBoscia_No_Ss,relGapBoscia_No_Ss,timeBoscia_Global_Tightening,solutionBoscia_Global_Tightening,terminationBoscia_Global_Tightening,numberNodesBoscia_Global_Tightening,dualGapBoscia_Global_Tightening,lbBoscia_Global_Tightening,relGapBoscia_Global_Tightening,timeBoscia_Local_Tightening,solutionBoscia_Local_Tightening,terminationBoscia_Local_Tightening,numberNodesBoscia_Local_Tightening,dualGapBoscia_Local_Tightening,lbBoscia_Local_Tightening,relGapBoscia_Local_Tightening,timeBoscia_No_Tightening,solutionBoscia_No_Tightening,terminationBoscia_No_Tightening,numberNodesBoscia_No_Tightening,dualGapBoscia_No_Tightening,lbBoscia_No_Tightening,relGapBoscia_No_Tightening,minimumTime
1,50,0.1,0.033,-1033.6069192943157,1,4,0.0,-1033.6069192943157,0.0,0.679,-1033.6069192943157,1,5,0.0,-1033.6069192943157,0.0,0.087,-1033.6069192943157,1,4,0.0,-1033.6069192943157,0.0,0.102,-1033.6069192943157,1,5,0.0,-1033.6069192943157,0.0,7.735,-1033.6069192943157,1,3,0.0,-1033.6069192943157,0.0,4.539,-1033.6069192943157,1,4,0.0,-1033.6069192943157,0.0,4.421,-1033.6069192943157,1,4,0.0,-1033.6069192943157,0.0,4.503,-1033.6069192943157,1,4,0.0,-1033.6069192943157,0.0,0.033
1,70,1.0,2.157,-2663.6104685014852,1,24,8.56221049616579e-8,-2663.6104685871073,3.2145130068447225e-11,2.275,-2663.6104685014852,1,48,8.56221049616579e-8,-2663.6104685871073,3.2145130068447225e-11,1.633,-2663.6104685014852,1,26,8.56221049616579e-8,-2663.6104685871073,3.2145130068447225e-11,1.887,-2663.6104685014852,1,29,8.56221049616579e-8,-2663.6104685871073,3.2145130068447225e-11,10.508,-2663.6104685014852,1,23,8.56221049616579e-8,-2663.6104685871073,3.2145130068447225e-11,6.122,-2663.6104685014852,1,24,8.56221049616579e-8,-2663.6104685871073,3.2145130068447225e-11,6.185,-2663.6104685014852,1,24,8.56221049616579e-8,-2663.6104685871073,3.2145130068447225e-11,5.983,-2663.6104685014852,1,24,8.56221049616579e-8,-2663.6104685871073,3.2145130068447225e-11,1.633
1,90,5.0,1.835,-1591.2367572923436,1,26,1.940179572557099e-9,-1591.2367572942837,1.2192903184680816e-12,2.121,-1591.2367572923436,1,55,1.940179572557099e-9,-1591.2367572942837,1.2192903184680816e-12,1.447,-1591.2367572923436,1,26,1.940179572557099e-9,-1591.2367572942837,1.2192903184680816e-12,1.624,-1591.2367572923436,1,29,1.940179572557099e-9,-1591.2367572942837,1.2192903184680816e-12,10.025,-1591.2367572923436,1,23,1.940179572557099e-9,-1591.2367572942837,1.2192903184680816e-12,5.842,-1591.2367572923436,1,26,1.940179572557099e-9,-1591.2367572942837,1.2192903184680816e-12,5.803,-1591.2367572923436,1,26,1.940179572557099e-9,-1591.2367572942837,1.2192903184680816e-12,6.106,-1591.2367572923436,1,26,1.940179572557099e-9,-1591.2367572942837,1.2192903184680816e-12,1.447
1,50,10.0,1.857,-1717.3799574809937,1,29,3.8872713048476726e-8,-1717.3799575198664,2.263489385627521e-11,2.123,-1717.3799574809937,1,53,3.8872713048476726e-8,-1717.3799575198664,2.263489385627521e-11,1.611,-1717.3799574809937,1,29,3.8872713048476726e-8,-1717.3799575198664,2.263489385627521e-11,1.714,-1717.3799574809937,1,32,3.8872713048476726e-8,-1717.3799575198664,2.263489385627521e-11,10.355,-1717.3799574809937,1,26,3.8872713048476726e-8,-1717.3799575198664,2.263489385627521e-11,5.987,-1717.3799574809937,1,29,3.8872713048476726e-8,-1717.3799575198664,2.263489385627521e-11,5.947,-1717.3799574809937,1,29,3.8872713048476726e-8,-1717.3799575198664,2.263489385627521e-11,5.974,-1717.3799574809937,1,29,3.8872713048476726e-8,-1717.3799575198664,2.263489385627521e-11,1.611
2,70,0.1,0.032,-38.709543020332966,1,4,0.0,-38.709543020332966,0.0,0.685,-38.709543020332966,1,5,0.0,-38.709543020332966,0.0,0.046,-38.709543020332966,1,4,0.0,-38.709543020332966,0.0,0.06,-38.709543020332966,1,5,0.0,-38.709543020332966,0.0,6.587,-38.709543020332966,1,3,0.0,-38.709543020332966,0.0,4.498,-38.709543020332966,1,4,0.0,-38.709543020332966,0.0,4.471,-38.709543020332966,1,4,0.0,-38.709543020332966,0.0,4.54,-38.709543020332966,1,4,0.0,-38.709543020332966,0.0,0.032
2,90,1.0,1.893,-33.520108236349,1,59,76.89908300706503,-110.41919124341403,2.2941179803135636,3.413,-33.520108236349,1,210,76.90113252932488,-110.42124076567389,2.2941179803135636,1.465,-33.520108236349,1,60,76.89908300706502,-110.41919124341402,2.2941179803135636,1.577,-33.520108236349,1,63,76.89908300706502,-110.41919124341402,2.2941179803135636,8.756,-33.520108236349,1,58,76.89908300706493,-110.41919124341393,2.2941179803135636,6.285,-33.520108236349,1,59,76.89908300706502,-110.41919124341402,2.2941179803135636,6.318,-33.520108236349,1,59,76.89908300706502,-110.41919124341402,2.2941179803135636,6.125,-33.520108236349,1,59,76.89908300706502,-110.41919124341402,2.2941179803135636,1.465
2,50,5.0,1.995,-70.7525978475437,1,49,3.9067899137990025e-8,-70.7525978866116,5.521761790594992e-10,2.234,-70.7525978475437,1,64,3.9067899137990025e-8,-70.7525978866116,5.521761790594992e-10,1.559,-70.7525978475437,1,51,3.9067899137990025e-8,-70.7525978866116,5.521761790594992e-10,1.593,-70.7525978475437,1,54,3.9067899137990025e-8,-70.7525978866116,5.521761790594992e-10,9.936,-70.7525978475437,1,107,3.9067899137990025e-8,-70.7525978866116,5.521761790594992e-10,6.298,-70.7525978475437,1,49,3.9067899137990025e-8,-70.7525978866116,5.521761790594992e-10,6.093,-70.7525978475437,1,49,3.9067899137990025e-8,-70.7525978866116,5.521761790594992e-10,6.123,-70.7525978475437,1,49,3.9067899137990025e-8,-70.7525978866116,5.521761790594992e-10,1.559
2,70,10.0,2.135,-70.78393075337834,1,52,4.6688541033290676e-8,-70.78393080006688,6.595923755062493e-10,2.324,-70.78393075337834,1,82,4.6688541033290676e-8,-70.78393080006688,6.595923755062493e-10,1.704,-70.78393075337834,1,53,4.6688541033290676e-8,-70.78393080006688,6.595923755062493e-10,1.78,-70.78393075337834,1,56,4.6688541033290676e-8,-70.78393080006688,6.595923755062493e-10,8.663,-70.78393075337834,1,50,4.6688541033290676e-8,-70.78393080006688,6.595923755062493e-10,6.105,-70.78393075337834,1,52,4.6688541033290676e-8,-70.78393080006688,6.595923755062493e-10,6.171,-70.78393075337834,1,52,4.6688541033290676e-8,-70.78393080006688,6.595923755062493e-10,7.342,-70.78393075337834,1,52,4.6688541033290676e-8,-70.78393080006688,6.595923755062493e-10,1.704
3,90,0.1,0.045,-45.63547494225324,1,4,0.0,-45.63547494225324,0.0,0.677,-45.63547494225324,1,5,0.0,-45.63547494225324,0.0,0.087,-45.63547494225324,1,4,0.0,-45.63547494225324,0.0,0.059,-45.63547494225324,1,5,0.0,-45.63547494225324,0.0,6.63,-45.63547494225324,1,3,0.0,-45.63547494225324,0.0,4.294,-45.63547494225324,1,4,0.0,-45.63547494225324,0.0,4.494,-45.63547494225324,1,4,0.0,-45.63547494225324,0.0,4.612,-45.63547494225324,1,4,0.0,-45.63547494225324,0.0,0.045
3,50,1.0,2.444,-38.28621791702631,1,65,93.6582123515364,-131.9444302685627,2.4462644117659256,1800.559,-38.28621791702631,0,196568,93.00380009546117,-131.29001801248748,2.4462644117659256,1.752,-38.28621791702631,1,67,93.6582123515364,-131.9444302685627,2.4462644117659256,1.887,-38.28621791702631,1,70,93.6582123515364,-131.9444302685627,2.4462644117659256,5.525,-38.28621791702631,1,64,93.6582123515364,-131.9444302685627,2.4462644117659256,6.27,-38.28621791702631,1,65,93.6582123515364,-131.9444302685627,2.4462644117659256,6.354,-38.28621791702631,1,65,93.6582123515364,-131.9444302685627,2.4462644117659256,6.421,-38.28621791702631,1,65,93.6582123515364,-131.9444302685627,2.4462644117659256,1.752
