seed,num_v,solution,calls,termination,time
1,4,-10.521637173527255,628,OPTIMAL,12.921561
1,5,-6.753903081845404,3207,OPTIMAL,167.479164
1,6,-6.2172972976773995,5709,TIME_LIMIT,1800.012259
1,7,-11.690896291367242,5570,OPTIMAL,1109.802705
1,8,0.4039114388719707,4498,TIME_LIMIT,1800.0045
2,4,-12.460513873415405,377,OPTIMAL,5.048264
2,5,-13.56157625649552,4463,TIME_LIMIT,1800.015261
2,6,-9.397587885886786,4692,TIME_LIMIT,1800.001536
2,7,-4.198471891171467,3767,TIME_LIMIT,1800.001721
2,8,-9.993028618436352,3217,TIME_LIMIT,1800.047139
3,4,-9.927340374657225,642,OPTIMAL,8.275459
3,5,-10.774936926119619,6150,TIME_LIMIT,1800.017374
3,6,-3.1192948242771035,7616,TIME_LIMIT,1800.027796
3,7,-5.552370297281948,4244,TIME_LIMIT,1800.004
3,8,0.019367452483939118,2572,TIME_LIMIT,1800.00567
