seed,dimension,p,k,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeIpopt,solutionIpopt,terminationIpopt,numberNodesIpopt,relGapIpopt,timeScipOA,solutionScipOA,terminationScipOA,numberNodesScipOA,relGapScipOA,timePavito,solutionPavito,terminationPavito,relGapPavito,timeShot,solutionShot,terminationShot,relGapShot,minimumTime
1,15,3.0,75,3.886,2.2335078624459115,1,198,0.021445142520545968,2.2120627199253655,0.009694635838024305,3.865,2.233505424747125,1,131,0.009693533835461525,0.419602,3.024066079593329,1,8,0.36707971810824624,1800.0,NaN,0,Inf,17.037230014801025,2.233507838388827,1,0.00969462496261643,0.419602
1,16,4.0,80,38.608,2.250303004538984,1,6397,0.022277671701115942,2.228025332837868,0.00999884129357746,82.036,2.2503008692496866,1,2811,0.00999788291610037,0.321387,2.929638276761712,1,8,0.3149034858729319,1800.0,NaN,0,Inf,879.6242909431458,2.2503029834892216,1,0.009998831845856168,0.321387
1,17,4.0,85,7.765,1.6411353000709363,1,978,0.01607008244480701,1.6250652176261293,0.009888884624754903,15.141,1.6411333382099325,1,483,0.0098876773741273,0.333491,2.5312478627399,1,6,0.5576284787126935,1800.0,NaN,0,Inf,116.91935706138611,1.6411352805940957,1,0.009888872639487867,0.333491
1,18,4.0,90,7.969,2.1566595398692447,1,961,0.02028112111750513,2.1363784187517396,0.009493225048282948,16.971,2.156657647874256,1,573,0.009492339439735289,0.331171,3.0428757580977637,1,7,0.4243149675120195,1800.0,NaN,0,Inf,218.8261079788208,2.1566595210039115,1,0.009493216217762506,0.331171
1,19,4.0,95,11.761,1.7514415693513994,1,1662,0.01673695497970451,1.7347046143716949,0.00964830256462227,18.108,1.751439787383729,1,633,0.009647275319029246,0.329024,2.717524467031373,1,5,0.5665632318708352,16.482837915420532,1.7514416240751804,1,0.009648334111077274,149.80388522148132,1.7514415512645611,1,0.00964829213815652,0.329024
1,20,4.0,100,20.647,2.274969426057991,1,3111,0.022088990358608562,2.2528804356993826,0.009804777035027726,63.876,2.274966169140845,1,2079,0.009803331367031062,0.39593,2.956929996161301,1,8,0.31251084136799917,1800.0,NaN,0,Inf,438.1796078681946,2.274969394574318,1,0.009804763060174687,0.39593
1,21,5.0,105,36.235,1.7617942799593105,1,5509,0.017339550137703608,1.7444547298216069,0.009939810899808676,76.549,1.7617934293199222,1,2041,0.00993932327500895,0.42095699999999997,2.9738634102486143,1,12,0.704752413123802,1800.0,NaN,0,Inf,1671.010682106018,1.7617940444296478,1,0.009939675883600669,0.42095699999999997
1,22,5.0,110,11.105,1.930455938957835,1,1373,0.018902624811794055,1.911553314146041,0.009888620250300751,19.746,1.9304536953281681,1,551,0.00988744652961489,0.398624,3.0637323141352146,1,7,0.6027448941458863,1800.0,NaN,0,Inf,243.11059403419495,1.930455916323803,1,0.009888608409651676,0.398624
1,23,5.0,115,24.082,1.8673957031119208,1,3313,0.018435562386275972,1.8489601407256449,0.009970773290461919,51.638,1.8673938641025773,1,1625,0.009969778672296299,0.328824,3.4892744492583194,1,14,0.8871550405023415,1800.0,NaN,0,Inf,644.5328469276428,1.8673956843286912,1,0.009970763131654693,0.328824
1,24,5.0,120,34.771,2.0309586934341795,1,4602,0.020086888360369315,2.01087180507381,0.009989144166070803,82.999,2.0339481191186666,1,2915,0.011475775823516214,0.343726,3.1596415011565724,1,26,0.5712794287453824,1800.0,NaN,0,Inf,1176.8882548809052,2.030958681471115,1,0.009989138216877877,0.343726
1,25,5.0,125,75.129,1.918574585754522,1,10507,0.01896478432321036,1.8996098014313116,0.009983515724608726,159.458,1.9185730180751268,1,3657,0.009982690460707684,0.348973,3.603602014392783,1,19,0.897022226184321,17.17836618423462,1.9198306810842647,1,0.010644754326765997,1518.9784381389618,1.9185745695149057,1,0.00998350717568657,0.348973
1,26,6.0,130,717.51,1.8799588900749673,1,102400,0.01857671262794769,1.8613821774470196,0.009980063660772016,1800.0,1.8799548727767275,0,45799,0.009977905426805602,0.407927,2.9914183809862984,1,44,0.6070952098022024,1800.0,NaN,0,Inf,1800.0,1.8799554806823044,1,0.009978232015071222,0.407927
1,27,6.0,135,131.615,1.6865999170979717,1,17761,0.015623939647924079,1.6709759774500477,0.009350188068991041,331.985,1.686596502158609,1,8633,0.009348144389483419,0.38465099999999997,3.145455307258185,1,58,0.8824060607132309,1800.0,NaN,0,Inf,1800.0,1.686597173245207,1,0.009348546003035692,0.38465099999999997
1,28,6.0,140,367.671,2.262450368745628,1,68066,0.022397503643738048,2.24005286510189,0.009998649582191573,1654.93,2.262447275366535,1,29589,0.009997268641972923,0.79628,3.6771530861362725,1,101,0.6415474578404716,1800.0,NaN,0,Inf,1800.0,2.265131267723551,1,0.011195451237942258,0.79628
1,29,6.0,145,377.223,2.067935788464429,1,64595,0.02047384691414189,2.0474619415502873,0.009999622702944898,1060.917,2.067934740495721,1,18801,0.009999110865002032,0.627923,3.624704997742734,1,35,0.7703405978810027,1800.0,NaN,0,Inf,1800.0,2.068419509252331,1,0.010235876563436955,0.627923
1,30,6.0,150,160.366,2.0182485579414875,1,25300,0.019945297905196835,1.9983032600362907,0.009981116632334681,503.603,2.0182476143543493,1,9803,0.009980644438170224,0.606625,3.305490241964768,1,24,0.6541484508736366,1800.0,NaN,0,Inf,1800.0,2.0182482977522094,1,0.00998098642723352,0.606625
2,15,3.0,75,13.245,1.5912331179212327,1,1789,0.014844560778260352,1.5763885571429723,0.009416815867506964,18.806,1.5912316435593046,1,627,0.009415880589258832,0.6462289999999999,2.368094638165787,1,16,0.5022277518035866,12.102048873901367,1.5912332064403922,1,0.009416872020642026,187.25836610794067,1.5912331031585372,1,0.00941680650262326,0.6462289999999999
2,16,4.0,80,84.357,1.5377830876141556,1,12800,0.015221238629339107,1.5225618489848165,0.009997123361187608,181.311,1.5377805987810413,1,5855,0.009995488726039007,0.34576999999999997,2.3768248210832446,1,50,0.561069471606698,1800.0,NaN,0,Inf,1800.0,1.5377815463306446,1,0.009996111065028953,0.34576999999999997
2,17,4.0,85,239.779,1.9730825424630343,1,36278,0.019511657466845467,1.9535708849961888,0.00998768850247455,417.947,1.9730811228354324,1,13191,0.009986961819039197,0.33784,2.665868229262199,1,16,0.3646130016251752,1800.0,NaN,0,Inf,1800.0,1.9730825273887773,1,0.009987680786216558,0.33784
2,18,4.0,90,145.451,1.908612111621514,1,21465,0.01888198031143129,1.8897301313100827,0.009991892492258186,222.457,1.908610537085859,1,6813,0.009991059285638424,0.342989,2.6288372290965514,1,30,0.39111780329928486,1800.0,NaN,0,Inf,1800.0,1.908611413219532,1,0.009991522914628844,0.342989
2,19,4.0,95,252.281,2.098437741911695,1,37194,0.020775858664599856,2.077661883247095,0.009999634123397447,471.299,2.0984356259251062,1,13611,0.009998615677323196,0.32509899999999997,2.937782262756121,1,4,0.413984771268354,1800.0,NaN,0,Inf,1800.0,2.098437721479272,1,0.009999624289062502,0.32509899999999997
2,20,4.0,100,85.988,1.7116323676712453,1,12531,0.016827079731419614,1.6948052879398257,0.009928621211628567,166.385,1.711630373313791,1,4355,0.009927444464383036,0.40893399999999996,2.5206702482632974,1,18,0.48729194214833854,27.986911058425903,1.7116318648600473,1,0.009928324533773247,1800.0,1.711631741892971,1,0.009928251978490836,0.40893399999999996
2,21,5.0,105,1800.0,2.0334254748682303,0,320571,0.03148883768386579,2.0019366371843645,0.015729187976775052,1800.0,2.033417342422229,0,70113,0.01572512568736466,0.42051499999999997,3.1450500782383424,1,41,0.571003806924537,63.3206729888916,2.0603606119590103,1,0.029183728240678247,1800.0,2.064084219318742,1,0.031043730845440428,0.42051499999999997
