seed,num_v,number_nodes,solution,termination,time
1,4,25507,Inf,Time limit reached,1.800031e6
1,5,25671,Inf,Time limit reached,1.800021e6
1,6,25925,Inf,Time limit reached,1.800044e6
1,7,25521,Inf,Time limit reached,1.800063e6
1,8,26191,Inf,Time limit reached,1.800138e6
2,4,25953,Inf,Time limit reached,1.800022e6
2,5,14897,Inf,Time limit reached,1.800022e6
2,6,25761,Inf,Time limit reached,1.800123e6
2,7,26083,Inf,Time limit reached,1.800148e6
2,8,26151,Inf,Time limit reached,1.800025e6
3,4,25427,Inf,Time limit reached,1.800127e6
3,5,25541,Inf,Time limit reached,1.800041e6
3,6,25925,Inf,Time limit reached,1.800062e6
3,7,25953,Inf,Time limit reached,1.80014e6
3,8,25821,Inf,Time limit reached,1.800081e6
